  \phi      E(\phi)
  0.00  -0.38558023
  0.02  -0.41054239
  0.03  -0.41221260
  0.05  -0.39106188
  0.07  -0.38912844
  0.09  -0.39927562
  0.10  -0.40384812
  0.12  -0.39444496
  0.14  -0.39918419
  0.16  -0.39613255
  0.17  -0.39930235
  0.19  -0.39091351
  0.21  -0.40187161
  0.23  -0.38892997
  0.24  -0.38925779
  0.26  -0.38713984
  0.28  -0.38647399
  0.30  -0.38469316
  0.31  -0.39375957
  0.33  -0.39067891
  0.35  -0.40039832
  0.37  -0.38657306
  0.38  -0.37627392
  0.40  -0.38509414
  0.42  -0.38222367
  0.44  -0.38165695
  0.45  -0.37334891
  0.47  -0.38159585
  0.49  -0.36500570
  0.51  -0.38171096
  0.52  -0.37397989
  0.54  -0.34936656
  0.56  -0.36172275
  0.58  -0.36001266
  0.59  -0.37640978
  0.61  -0.36941829
  0.63  -0.35841637
  0.65  -0.36454978
  0.66  -0.35892531
  0.68  -0.35157520
  0.70  -0.32558871
  0.72  -0.34811981
  0.73  -0.34488468
  0.75  -0.32926601
  0.77  -0.33897863
  0.79  -0.32333439
  0.80  -0.33315897
  0.82  -0.32365256
  0.84  -0.31101033
  0.86  -0.31114823
  0.87  -0.30976983
  0.89  -0.30661490
  0.91  -0.32058592
  0.93  -0.29700107
  0.94  -0.29879922
  0.96  -0.29435768
  0.98  -0.28447617
  0.99  -0.29249972
  1.01  -0.26918588
  1.03  -0.28086254
  1.05  -0.27246547
  1.06  -0.28165304
  1.08  -0.26707651
  1.10  -0.26947197
  1.12  -0.25649607
  1.13  -0.25130393
  1.15  -0.24851787
  1.17  -0.24459216
  1.19  -0.23577924
  1.20  -0.22409123
  1.22  -0.22235803
  1.24  -0.23696056
  1.26  -0.20993274
  1.27  -0.20716132
  1.29  -0.20063032
  1.31  -0.21423404
  1.33  -0.19815507
  1.34  -0.19192796
  1.36  -0.18600171
  1.38  -0.17629633
  1.40  -0.18805784
  1.41  -0.17070833
  1.43  -0.17583166
  1.45  -0.15382290
  1.47  -0.16324403
  1.48  -0.16009942
  1.50  -0.14852489
  1.52  -0.14799729
  1.54  -0.13498491
  1.55  -0.13342165
  1.57  -0.12650498
  1.59  -0.12667249
  1.61  -0.11803177
  1.62  -0.11029377
  1.64  -0.09761431
  1.66  -0.09459235
  1.68  -0.10299509
  1.69  -0.07735169
  1.71  -0.08025224
  1.73  -0.07024899
  1.75  -0.06664980
  1.76  -0.06505763
  1.78  -0.05290430
  1.80  -0.05080922
  1.82  -0.04392500
  1.83  -0.02648344
  1.85  -0.03616602
  1.87  -0.02703251
  1.88  -0.00850758
  1.90  -0.01800234
  1.92  -0.00563513
  1.94  -0.00553839
  1.95   0.01425883
  1.97   0.01316062
  1.99   0.01938804
  2.01   0.02988634
  2.02   0.02446379
  2.04   0.02805907
  2.06   0.03991948
  2.08   0.05297085
  2.09   0.05563097
  2.11   0.05800010
  2.13   0.07456467
  2.15   0.07804071
  2.16   0.06923549
  2.18   0.07500888
  2.20   0.08388606
  2.22   0.09821877
  2.23   0.08337691
  2.25   0.09614639
  2.27   0.10906937
  2.29   0.11102756
  2.30   0.11954693
  2.32   0.12007543
  2.34   0.13126199
  2.36   0.14663035
  2.37   0.13567640
  2.39   0.13330325
  2.41   0.14228693
  2.43   0.14110424
  2.44   0.15304092
  2.46   0.15485025
  2.48   0.16941821
  2.50   0.17084819
  2.51   0.17001796
  2.53   0.17156550
  2.55   0.17465968
  2.57   0.17679969
  2.58   0.17527052
  2.60   0.19222739
  2.62   0.19321454
  2.64   0.20032310
  2.65   0.19919555
  2.67   0.21039272
  2.69   0.20374572
  2.71   0.21503597
  2.72   0.21128051
  2.74   0.21540369
  2.76   0.22471548
  2.78   0.22731377
  2.79   0.23920716
  2.81   0.22413252
  2.83   0.22930844
  2.84   0.22698517
  2.86   0.22519060
  2.88   0.23880192
  2.90   0.23422556
  2.91   0.24621553
  2.93   0.24057133
  2.95   0.24226313
  2.97   0.25455268
  2.98   0.24299800
  3.00   0.24990698
  3.02   0.24794076
  3.04   0.24830646
  3.05   0.24400079
  3.07   0.25033545
  3.09   0.25016940
  3.11   0.24920307
  3.12   0.24614441
  3.14   0.24164725
