  \phi      E(\phi)
0.0000          NaN
0.0175          NaN
0.0349          NaN
0.0524          NaN
0.0698          NaN
0.0873          NaN
0.1047          NaN
0.1222          NaN
0.1396          NaN
0.1571          NaN
0.1745          NaN
0.1920          NaN
0.2094          NaN
0.2269          NaN
0.2443          NaN
0.2618          NaN
0.2793          NaN
0.2967          NaN
0.3142          NaN
0.3316          NaN
0.3491          NaN
0.3665          NaN
0.3840          NaN
0.4014          NaN
0.4189          NaN
0.4363          NaN
0.4538          NaN
0.4712          NaN
0.4887          NaN
0.5061          NaN
0.5236          NaN
0.5411          NaN
0.5585          NaN
0.5760          NaN
0.5934          NaN
0.6109          NaN
0.6283          NaN
0.6458          NaN
0.6632          NaN
0.6807          NaN
0.6981          NaN
0.7156          NaN
0.7330          NaN
0.7505          NaN
0.7679          NaN
0.7854          NaN
0.8029          NaN
0.8203          NaN
0.8378          NaN
0.8552          NaN
0.8727          NaN
0.8901          NaN
0.9076          NaN
0.9250          NaN
0.9425          NaN
0.9599          NaN
0.9774          NaN
0.9948          NaN
1.0123  -0.43987342
1.0297          NaN
1.0472          NaN
1.0647          NaN
1.0821          NaN
1.0996  -0.54029621
1.1170          NaN
1.1345          NaN
1.1519          NaN
1.1694          NaN
1.1868          NaN
1.2043          NaN
1.2217          NaN
1.2392          NaN
1.2566          NaN
1.2741          NaN
1.2915          NaN
1.3090          NaN
1.3265          NaN
1.3439          NaN
1.3614          NaN
1.3788  -0.53846154
1.3963          NaN
1.4137          NaN
1.4312          NaN
1.4486          NaN
1.4661          NaN
1.4835          NaN
1.5010          NaN
1.5184          NaN
1.5359          NaN
1.5533          NaN
1.5708          NaN
1.5882          NaN
1.6057          NaN
1.6232          NaN
1.6406          NaN
1.6581          NaN
1.6755          NaN
1.6930          NaN
1.7104          NaN
1.7279          NaN
1.7453          NaN
1.7628          NaN
1.7802          NaN
1.7977          NaN
1.8151          NaN
1.8326          NaN
1.8500          NaN
1.8675          NaN
1.8850          NaN
1.9024          NaN
1.9199          NaN
1.9373          NaN
1.9548          NaN
1.9722          NaN
1.9897          NaN
2.0071          NaN
2.0246          NaN
2.0420          NaN
2.0595          NaN
2.0769          NaN
2.0944          NaN
2.1118          NaN
2.1293          NaN
2.1468          NaN
2.1642          NaN
2.1817          NaN
2.1991          NaN
2.2166          NaN
2.2340          NaN
2.2515          NaN
2.2689          NaN
2.2864          NaN
2.3038          NaN
2.3213          NaN
2.3387          NaN
2.3562          NaN
2.3736   0.02232727
2.3911   0.36842105
2.4086          NaN
2.4260          NaN
2.4435          NaN
2.4609          NaN
2.4784          NaN
2.4958          NaN
2.5133          NaN
2.5307          NaN
2.5482          NaN
2.5656          NaN
2.5831          NaN
2.6005          NaN
2.6180          NaN
2.6354          NaN
2.6529          NaN
2.6704          NaN
2.6878          NaN
2.7053          NaN
2.7227          NaN
2.7402          NaN
2.7576          NaN
2.7751          NaN
2.7925          NaN
2.8100          NaN
2.8274          NaN
2.8449   0.14979757
2.8623          NaN
2.8798          NaN
2.8972          NaN
2.9147          NaN
2.9322          NaN
2.9496          NaN
2.9671          NaN
2.9845          NaN
3.0020          NaN
3.0194          NaN
3.0369          NaN
3.0543          NaN
3.0718   1.00000000
3.0892   1.00000000
3.1067          NaN
3.1241   1.00000000
3.1416          NaN
