  \phi      E(\phi)
0.0000  -0.40628298
0.0175  -0.40266451
0.0349  -0.39122731
0.0524  -0.39894912
0.0698  -0.39033326
0.0873  -0.38222988
0.1047  -0.40978613
0.1222  -0.39214595
0.1396  -0.40027785
0.1571  -0.39963217
0.1745  -0.40453359
0.1920  -0.37291429
0.2094  -0.39515239
0.2269  -0.38480868
0.2443  -0.39223700
0.2618  -0.38657381
0.2793  -0.38471666
0.2967  -0.39022755
0.3142  -0.39077641
0.3316  -0.39628836
0.3491  -0.39810457
0.3665  -0.40356121
0.3840  -0.39329983
0.4014  -0.38406270
0.4189  -0.36306958
0.4363  -0.37658895
0.4538  -0.39796577
0.4712  -0.36830051
0.4887  -0.37093526
0.5061  -0.37582416
0.5236  -0.35270118
0.5411  -0.36978041
0.5585  -0.34414321
0.5760  -0.35135853
0.5934  -0.36166566
0.6109  -0.35300223
0.6283  -0.35844374
0.6458  -0.35820294
0.6632  -0.36889695
0.6807  -0.34226597
0.6981  -0.34525974
0.7156  -0.33736929
0.7330  -0.33833605
0.7505  -0.33110430
0.7679  -0.32412355
0.7854  -0.34048699
0.8029  -0.32463872
0.8203  -0.32294088
0.8378  -0.32544331
0.8552  -0.31446099
0.8727  -0.30746050
0.8901  -0.32222817
0.9076  -0.30956963
0.9250  -0.30135312
0.9425  -0.30114166
0.9599  -0.29538203
0.9774  -0.28737244
0.9948  -0.28142735
1.0123  -0.28332914
1.0297  -0.28303750
1.0472  -0.26667898
1.0647  -0.28008608
1.0821  -0.26437336
1.0996  -0.25343967
1.1170  -0.26912451
1.1345  -0.25383713
1.1519  -0.26169695
1.1694  -0.24803507
1.1868  -0.24008610
1.2043  -0.23248124
1.2217  -0.22650665
1.2392  -0.22677797
1.2566  -0.21607650
1.2741  -0.21181308
1.2915  -0.21792309
1.3090  -0.19482008
1.3265  -0.20432442
1.3439  -0.19625308
1.3614  -0.18586541
1.3788  -0.18794298
1.3963  -0.19786834
1.4137  -0.17408614
1.4312  -0.17922696
1.4486  -0.16919020
1.4661  -0.16268568
1.4835  -0.14848881
1.5010  -0.14398487
1.5184  -0.14716671
1.5359  -0.14673671
1.5533  -0.13101452
1.5708  -0.13281261
1.5882  -0.12282132
1.6057  -0.11338264
1.6232  -0.10675151
1.6406  -0.10650955
1.6581  -0.09601238
1.6755  -0.08861733
1.6930  -0.09836070
1.7104  -0.07056403
1.7279  -0.06963071
1.7453  -0.05920788
1.7628  -0.04076323
1.7802  -0.05912231
1.7977  -0.05001717
1.8151  -0.05452123
1.8326  -0.02566432
1.8500  -0.02375143
1.8675  -0.01378406
1.8850  -0.02324370
1.9024  -0.02411254
1.9199  -0.00658877
1.9373  -0.00693776
1.9548  -0.00614131
1.9722   0.01694869
1.9897   0.02038130
2.0071   0.02992636
2.0246   0.01928477
2.0420   0.03898993
2.0595   0.04324971
2.0769   0.04568661
2.0944   0.05013569
2.1118   0.06054110
2.1293   0.06223395
2.1468   0.06668384
2.1642   0.07722819
2.1817   0.08398622
2.1991   0.09034415
2.2166   0.09549902
2.2340   0.09865008
2.2515   0.10360613
2.2689   0.10563067
2.2864   0.09918181
2.3038   0.11586255
2.3213   0.11393377
2.3387   0.12709278
2.3562   0.13994290
2.3736   0.12906006
2.3911   0.14718389
2.4086   0.15861104
2.4260   0.15007212
2.4435   0.15509098
2.4609   0.15053627
2.4784   0.16263759
2.4958   0.15993081
2.5133   0.17000143
2.5307   0.17500864
2.5482   0.19052382
2.5656   0.19144871
2.5831   0.19472280
2.6005   0.18814333
2.6180   0.18648363
2.6354   0.19617086
2.6529   0.19783531
2.6704   0.20228359
2.6878   0.21336417
2.7053   0.20954137
2.7227   0.22603643
2.7402   0.21157008
2.7576   0.21099569
2.7751   0.21447027
2.7925   0.21639548
2.8100   0.23279912
2.8274   0.24052035
2.8449   0.24213428
2.8623   0.24027955
2.8798   0.24282920
2.8972   0.23932560
2.9147   0.24437092
2.9322   0.24103299
2.9496   0.21889510
2.9671   0.23727025
2.9845   0.24485367
3.0020   0.24431526
3.0194   0.25537519
3.0369   0.23153277
3.0543   0.23635088
3.0718   0.23270163
3.0892   0.24280295
3.1067   0.25674918
3.1241   0.24544477
3.1416   0.24802034
