  \phi      E(\phi)
  0.00  -0.39000106
  0.02  -0.40492892
  0.03  -0.39278850
  0.05  -0.37202807
  0.07  -0.40607170
  0.09  -0.40999076
  0.10  -0.38959323
  0.12  -0.42296611
  0.14  -0.40992956
  0.16  -0.39585495
  0.17  -0.40287628
  0.19  -0.40119317
  0.21  -0.41193258
  0.23  -0.36948553
  0.24  -0.42571910
  0.26  -0.37835661
  0.28  -0.40471468
  0.30  -0.35344831
  0.31  -0.41618756
  0.33  -0.35588293
  0.35  -0.39627315
  0.37  -0.40811634
  0.38  -0.36897780
  0.40  -0.38940185
  0.42  -0.37643811
  0.44  -0.37752682
  0.45  -0.37164609
  0.47  -0.37023414
  0.49  -0.34862997
  0.51  -0.36887811
  0.52  -0.36095634
  0.54  -0.35430235
  0.56  -0.37430549
  0.58  -0.37346033
  0.59  -0.35400286
  0.61  -0.36479184
  0.63  -0.37288753
  0.65  -0.33136154
  0.66  -0.38541044
  0.68  -0.36678854
  0.70  -0.35042828
  0.72  -0.35231272
  0.73  -0.34654538
  0.75  -0.34231513
  0.77  -0.30688931
  0.79  -0.33301301
  0.80  -0.33546237
  0.82  -0.35711621
  0.84  -0.30378699
  0.86  -0.30599097
  0.87  -0.29001659
  0.89  -0.29675700
  0.91  -0.29938008
  0.93  -0.31754896
  0.94  -0.31908175
  0.96  -0.29276187
  0.98  -0.27188467
  0.99  -0.30853276
  1.01  -0.29276552
  1.03  -0.26501422
  1.05  -0.28601855
  1.06  -0.27246530
  1.08  -0.24522492
  1.10  -0.26211636
  1.12  -0.25448885
  1.13  -0.25330221
  1.15  -0.25251848
  1.17  -0.23257376
  1.19  -0.27416069
  1.20  -0.25609018
  1.22  -0.23198394
  1.24  -0.23348984
  1.26  -0.21122420
  1.27  -0.22570239
  1.29  -0.21155149
  1.31  -0.20854820
  1.33  -0.20998121
  1.34  -0.20127286
  1.36  -0.19378785
  1.38  -0.18752582
  1.40  -0.16389829
  1.41  -0.16186184
  1.43  -0.18422864
  1.45  -0.12922044
  1.47  -0.15435344
  1.48  -0.12649833
  1.50  -0.11364360
  1.52  -0.13471254
  1.54  -0.13938048
  1.55  -0.13547625
  1.57  -0.12265152
  1.59  -0.09197807
  1.61  -0.10619017
  1.62  -0.11348388
  1.64  -0.09509694
  1.66  -0.09546368
  1.68  -0.08786124
  1.69  -0.07020012
  1.71  -0.06725115
  1.73  -0.08465786
  1.75  -0.06853111
  1.76  -0.06029258
  1.78  -0.05226224
  1.80  -0.05898767
  1.82  -0.04440687
  1.83  -0.06948930
  1.85  -0.00514885
  1.87  -0.01685872
  1.88  -0.00900222
  1.90  -0.00938407
  1.92  -0.01010170
  1.94  -0.00572120
  1.95   0.00610373
  1.97   0.04031156
  1.99   0.02135921
  2.01   0.03427493
  2.02   0.02945065
  2.04   0.03139207
  2.06   0.07064000
  2.08   0.05768398
  2.09   0.04921544
  2.11   0.02418954
  2.13   0.03818630
  2.15   0.02898398
  2.16   0.07319957
  2.18   0.08739416
  2.20   0.08295080
  2.22   0.08646981
  2.23   0.10352684
  2.25   0.11173078
  2.27   0.10547292
  2.29   0.11284119
  2.30   0.11522143
  2.32   0.14503255
  2.34   0.11333666
  2.36   0.12810660
  2.37   0.14271576
  2.39   0.10828984
  2.41   0.15232565
  2.43   0.15981503
  2.44   0.16928027
  2.46   0.14840370
  2.48   0.17772339
  2.50   0.18939216
  2.51   0.15224833
  2.53   0.19099797
  2.55   0.16765055
  2.57   0.18287202
  2.58   0.17462950
  2.60   0.18290199
  2.62   0.18446540
  2.64   0.20748470
  2.65   0.20979878
  2.67   0.20783082
  2.69   0.21273377
  2.71   0.20414213
  2.72   0.20957262
  2.74   0.20121662
  2.76   0.20391481
  2.78   0.24304245
  2.79   0.22983644
  2.81   0.24145857
  2.83   0.22789294
  2.84   0.24441020
  2.86   0.24931766
  2.88   0.24516765
  2.90   0.24381171
  2.91   0.23629436
  2.93   0.22141142
  2.95   0.23464048
  2.97   0.24823583
  2.98   0.24656891
  3.00   0.24553675
  3.02   0.23197471
  3.04   0.25833644
  3.05   0.24184107
  3.07   0.24899544
  3.09   0.24307115
  3.11   0.23920064
  3.12   0.25438159
  3.14   0.24874630
