  \phi      E(\phi)
0.0000  -0.42740811
0.0175  -0.48758826
0.0349  -0.59847919
0.0524  -0.50377462
0.0698  -0.49114849
0.0873  -0.46172380
0.1047  -0.43292794
0.1222  -0.54697475
0.1396  -0.53276420
0.1571  -0.47322904
0.1745  -0.51377480
0.1920  -0.42812268
0.2094  -0.45023128
0.2269  -0.42310117
0.2443  -0.52556483
0.2618  -0.45621320
0.2793  -0.51193334
0.2967  -0.52985677
0.3142  -0.47290157
0.3316  -0.49076767
0.3491  -0.41046496
0.3665  -0.50328372
0.3840  -0.47774931
0.4014  -0.41106718
0.4189  -0.37408139
0.4363  -0.43649363
0.4538  -0.42960082
0.4712  -0.43485241
0.4887  -0.50357776
0.5061  -0.43806574
0.5236  -0.35179561
0.5411  -0.42672532
0.5585  -0.43160854
0.5760  -0.45709016
0.5934  -0.52664531
0.6109  -0.41711250
0.6283  -0.45630992
0.6458  -0.44487359
0.6632  -0.40000172
0.6807  -0.46607189
0.6981  -0.31569293
0.7156  -0.38726757
0.7330  -0.31935695
0.7505  -0.43081375
0.7679  -0.37338502
0.7854  -0.42018313
0.8029  -0.41410529
0.8203  -0.36472355
0.8378  -0.43725389
0.8552  -0.33929639
0.8727  -0.31865769
0.8901  -0.35256421
0.9076  -0.35483402
0.9250  -0.38665392
0.9425  -0.30157459
0.9599  -0.27574510
0.9774  -0.46516966
0.9948  -0.30775389
1.0123  -0.28005492
1.0297  -0.27601004
1.0472  -0.18374222
1.0647  -0.24801953
1.0821  -0.35904115
1.0996  -0.36385716
1.1170  -0.31614027
1.1345  -0.36277429
1.1519  -0.37656268
1.1694  -0.31030905
1.1868  -0.24057188
1.2043  -0.15837589
1.2217  -0.31961412
1.2392  -0.24673685
1.2566  -0.23334645
1.2741  -0.24907834
1.2915  -0.27368103
1.3090  -0.28897216
1.3265  -0.20948343
1.3439  -0.21861038
1.3614  -0.18729562
1.3788  -0.19466833
1.3963  -0.22910957
1.4137  -0.17651772
1.4312  -0.11680429
1.4486  -0.16071080
1.4661  -0.22982730
1.4835  -0.23911337
1.5010  -0.13857623
1.5184  -0.10135998
1.5359  -0.07231531
1.5533   0.00030655
1.5708   0.02224956
1.5882  -0.13564765
1.6057  -0.13621583
1.6232  -0.18204628
1.6406   0.10015260
1.6581  -0.15138827
1.6755  -0.10309577
1.6930   0.02123454
1.7104  -0.22776179
1.7279  -0.00829284
1.7453   0.05782140
1.7628  -0.12305930
1.7802  -0.06981957
1.7977  -0.06010836
1.8151  -0.10102733
1.8326  -0.03071010
1.8500  -0.10277086
1.8675  -0.01368245
1.8850  -0.00174351
1.9024  -0.01998331
1.9199  -0.10787049
1.9373   0.09797165
1.9548   0.04186423
1.9722  -0.04206891
1.9897   0.13166148
2.0071   0.04252844
2.0246   0.11443021
2.0420   0.08516420
2.0595   0.02532002
2.0769   0.08767294
2.0944   0.06723609
2.1118   0.03952631
2.1293   0.13560835
2.1468   0.06031130
2.1642   0.21726536
2.1817   0.07571765
2.1991   0.05674533
2.2166   0.18854382
2.2340   0.10421112
2.2515   0.08917812
2.2689   0.15305316
2.2864   0.09779596
2.3038   0.18256613
2.3213   0.33460414
2.3387   0.22584864
2.3562   0.23453631
2.3736   0.31349603
2.3911   0.19242781
2.4086   0.18220797
2.4260   0.24106081
2.4435   0.34868022
2.4609   0.16709545
2.4784   0.26604103
2.4958   0.12405604
2.5133   0.27471838
2.5307   0.41947091
2.5482   0.19371684
2.5656   0.22857034
2.5831   0.35640402
2.6005   0.30465391
2.6180   0.28954795
2.6354   0.27120591
2.6529   0.32633731
2.6704   0.24205659
2.6878   0.33241923
2.7053   0.22302232
2.7227   0.24523457
2.7402   0.34231221
2.7576   0.28070754
2.7751   0.31858638
2.7925   0.25707942
2.8100   0.17794439
2.8274   0.37474899
2.8449   0.40338109
2.8623   0.26954766
2.8798   0.24289424
2.8972   0.26917831
2.9147   0.14727697
2.9322   0.28688534
2.9496   0.23596799
2.9671   0.29764759
2.9845   0.27390505
3.0020   0.38170782
3.0194   0.39293062
3.0369   0.42735706
3.0543   0.22676173
3.0718   0.42609024
3.0892   0.21348693
3.1067   0.39568385
3.1241   0.39955771
3.1416   0.35942401
