  \phi      E(\phi)
0.0000  -1.00000000
0.0175  -0.95550869
0.0349  -0.95046687
0.0524  -0.95753766
0.0698  -0.95026677
0.0873  -0.95597267
0.1047  -0.96288634
0.1222  -0.92458647
0.1396  -0.98926538
0.1571  -1.00000000
0.1745  -0.94280465
0.1920  -0.94730192
0.2094  -0.98950869
0.2269  -1.00000000
0.2443  -1.00000000
0.2618  -0.93734855
0.2793  -0.91455781
0.2967  -0.98844936
0.3142  -0.95121716
0.3316  -0.94964180
0.3491  -0.97930762
0.3665  -0.98884525
0.3840  -0.93494295
0.4014  -0.98203057
0.4189  -0.95962985
0.4363  -0.96379350
0.4538  -0.94220021
0.4712  -0.90402426
0.4887  -0.90051654
0.5061  -0.87999588
0.5236  -0.84814676
0.5411  -0.87457480
0.5585  -0.93353245
0.5760  -0.90671380
0.5934  -0.89802461
0.6109  -0.84758886
0.6283  -0.87188537
0.6458  -0.93010640
0.6632  -0.87562911
0.6807  -0.88946052
0.6981  -0.88702392
0.7156  -0.86281033
0.7330  -0.80932187
0.7505  -0.83616683
0.7679  -0.79022758
0.7854  -0.82274549
0.8029  -0.85325363
0.8203  -0.74381105
0.8378  -0.80189825
0.8552  -0.75800745
0.8727  -0.72776604
0.8901  -0.74812472
0.9076  -0.83397218
0.9250  -0.70408247
0.9425  -0.78049602
0.9599  -0.70907990
0.9774  -0.71886809
0.9948  -0.82099245
1.0123  -0.67332601
1.0297  -0.75698630
1.0472  -0.67076331
1.0647  -0.69964805
1.0821  -0.70617936
1.0996  -0.73327330
1.1170  -0.53264760
1.1345  -0.67592554
1.1519  -0.55866365
1.1694  -0.69694217
1.1868  -0.68779505
1.2043  -0.58375275
1.2217  -0.62763402
1.2392  -0.56686802
1.2566  -0.51442696
1.2741  -0.62191027
1.2915  -0.61031171
1.3090  -0.59570522
1.3265  -0.72665834
1.3439  -0.48534855
1.3614  -0.48777317
1.3788  -0.45839317
1.3963  -0.60161735
1.4137  -0.33690947
1.4312  -0.32072071
1.4486  -0.40493656
1.4661  -0.43115991
1.4835  -0.41023585
1.5010  -0.30508274
1.5184  -0.34341027
1.5359  -0.42206108
1.5533  -0.39679384
1.5708  -0.30336569
1.5882  -0.31353812
1.6057  -0.40265049
1.6232  -0.25729153
1.6406  -0.46093115
1.6581  -0.13378535
1.6755  -0.27550733
1.6930  -0.14029561
1.7104  -0.13572945
1.7279  -0.20421422
1.7453  -0.06351998
1.7628  -0.23555239
1.7802  -0.25420266
1.7977  -0.18254275
1.8151   0.01498216
1.8326  -0.02676738
1.8500  -0.02502076
1.8675   0.09268484
1.8850  -0.06121498
1.9024  -0.17124473
1.9199  -0.02571422
1.9373   0.06183454
1.9548  -0.11911513
1.9722   0.05614906
1.9897   0.06771225
2.0071  -0.10552069
2.0246   0.00644804
2.0420   0.09218759
2.0595   0.12759854
2.0769  -0.00826953
2.0944   0.09889721
2.1118   0.22365811
2.1293   0.23656816
2.1468   0.17744943
2.1642   0.32101686
2.1817   0.33274121
2.1991   0.20797111
2.2166   0.32382270
2.2340   0.37954475
2.2515   0.24820952
2.2689   0.22583021
2.2864   0.38856496
2.3038   0.34223329
2.3213   0.39962403
2.3387   0.51319594
2.3562   0.48333503
2.3736   0.49551714
2.3911   0.50946686
2.4086   0.44338218
2.4260   0.65394505
2.4435   0.67146887
2.4609   0.51072292
2.4784   0.71138111
2.4958   0.52433321
2.5133   0.51086529
2.5307   0.55712044
2.5482   0.63473046
2.5656   0.79455140
2.5831   0.76732446
2.6005   0.56970602
2.6180   0.81421571
2.6354   0.70643426
2.6529   0.84578614
2.6704   0.90911683
2.6878   0.85579085
2.7053   0.78315549
2.7227   0.88254836
2.7402   0.73463295
2.7576   0.89043331
2.7751   0.81242561
2.7925   0.84821741
2.8100   0.95758828
2.8274   0.87667982
2.8449   0.79457542
2.8623   1.00000000
2.8798   0.92937809
2.8972   0.77710866
2.9147   0.79946567
2.9322   0.92004582
2.9496   0.95484957
2.9671   0.91253010
2.9845   1.00000000
3.0020   1.00000000
3.0194   0.84718187
3.0369   0.96081958
3.0543   1.00000000
3.0718   1.00000000
3.0892   1.00000000
3.1067   0.92513534
3.1241   0.90652309
3.1416   1.00000000
