  \phi      E(\phi)
0.0000  -0.78191751
0.0175  -0.86586023
0.0349  -0.76834319
0.0524  -0.68077444
0.0698  -0.78846067
0.0873  -0.74461627
0.1047  -0.83129800
0.1222  -0.67606720
0.1396  -0.78638933
0.1571  -0.73164372
0.1745  -0.78994167
0.1920  -0.77612686
0.2094  -0.72073041
0.2269  -0.75946591
0.2443  -0.72110719
0.2618  -0.78260700
0.2793  -0.73412318
0.2967  -0.84487932
0.3142  -0.67171945
0.3316  -0.80497147
0.3491  -0.70411220
0.3665  -0.78704656
0.3840  -0.73387728
0.4014  -0.68798659
0.4189  -0.63470961
0.4363  -0.68705587
0.4538  -0.67473480
0.4712  -0.75155530
0.4887  -0.67949682
0.5061  -0.77599909
0.5236  -0.78250408
0.5411  -0.77615006
0.5585  -0.66704615
0.5760  -0.71016505
0.5934  -0.74601114
0.6109  -0.68237091
0.6283  -0.73920756
0.6458  -0.63127523
0.6632  -0.59814605
0.6807  -0.73251816
0.6981  -0.70207602
0.7156  -0.66367331
0.7330  -0.57779911
0.7505  -0.67146014
0.7679  -0.68667989
0.7854  -0.56251427
0.8029  -0.60124563
0.8203  -0.58293365
0.8378  -0.74267302
0.8552  -0.61413399
0.8727  -0.57201839
0.8901  -0.54239482
0.9076  -0.61442389
0.9250  -0.59919445
0.9425  -0.57276759
0.9599  -0.62283587
0.9774  -0.48434690
0.9948  -0.55930304
1.0123  -0.50664097
1.0297  -0.49089038
1.0472  -0.55958468
1.0647  -0.62815897
1.0821  -0.65329361
1.0996  -0.58145072
1.1170  -0.37432225
1.1345  -0.46523117
1.1519  -0.49134084
1.1694  -0.38909163
1.1868  -0.44330706
1.2043  -0.47778432
1.2217  -0.49361468
1.2392  -0.45812169
1.2566  -0.53450894
1.2741  -0.36321167
1.2915  -0.25647992
1.3090  -0.46453975
1.3265  -0.42837057
1.3439  -0.41482729
1.3614  -0.40521238
1.3788  -0.22785519
1.3963  -0.35949358
1.4137  -0.39419692
1.4312  -0.43832502
1.4486  -0.33935911
1.4661  -0.32078165
1.4835  -0.27829621
1.5010  -0.30756069
1.5184  -0.10344531
1.5359  -0.26196728
1.5533  -0.26764211
1.5708  -0.37184259
1.5882  -0.27271426
1.6057  -0.23509551
1.6232  -0.07549312
1.6406  -0.14655530
1.6581  -0.07341369
1.6755  -0.19924862
1.6930  -0.13060005
1.7104  -0.15604330
1.7279   0.09326019
1.7453  -0.27282696
1.7628  -0.19517850
1.7802  -0.18120389
1.7977  -0.11383207
1.8151  -0.06825041
1.8326   0.08059586
1.8500   0.05430876
1.8675  -0.05525098
1.8850   0.13059780
1.9024  -0.04475962
1.9199   0.06549548
1.9373   0.20913410
1.9548  -0.01530561
1.9722   0.02165935
1.9897   0.12605350
2.0071   0.03437067
2.0246   0.10767431
2.0420   0.13344926
2.0595   0.14222075
2.0769  -0.00943855
2.0944   0.00224571
2.1118   0.04934817
2.1293   0.16799669
2.1468   0.24607780
2.1642   0.02770710
2.1817   0.24142837
2.1991   0.33248719
2.2166   0.36142289
2.2340   0.36968977
2.2515   0.27379251
2.2689   0.39393045
2.2864   0.33720367
2.3038   0.10114730
2.3213   0.21992330
2.3387   0.23837847
2.3562   0.33476231
2.3736   0.24002346
2.3911   0.27901681
2.4086   0.40073341
2.4260   0.32690917
2.4435   0.44488806
2.4609   0.22932765
2.4784   0.50310014
2.4958   0.49247250
2.5133   0.49602230
2.5307   0.19755789
2.5482   0.32523821
2.5656   0.53344064
2.5831   0.34641659
2.6005   0.36317403
2.6180   0.37015041
2.6354   0.59472825
2.6529   0.37909556
2.6704   0.54653416
2.6878   0.60749683
2.7053   0.42752525
2.7227   0.39615838
2.7402   0.18505547
2.7576   0.33864893
2.7751   0.62857519
2.7925   0.51071172
2.8100   0.70598641
2.8274   0.64790947
2.8449   0.65802566
2.8623   0.58770261
2.8798   0.56720311
2.8972   0.64927407
2.9147   0.54452089
2.9322   0.54026106
2.9496   0.69264791
2.9671   0.59450993
2.9845   0.62280389
3.0020   0.63928106
3.0194   0.59097361
3.0369   0.74627754
3.0543   0.48297613
3.0718   0.50535418
3.0892   0.56821320
3.1067   0.52963023
3.1241   0.63270027
3.1416   0.59247573
