  \phi      E(\phi)
0.0000  -0.94263687
0.0175  -0.95955675
0.0349  -0.97696453
0.0524  -0.96795604
0.0698  -1.00000000
0.0873  -0.94931013
0.1047  -0.96246241
0.1222  -0.96475647
0.1396  -0.95125140
0.1571  -0.97528130
0.1745  -1.00000000
0.1920  -0.96081266
0.2094  -0.96507690
0.2269  -0.94840527
0.2443  -0.98517295
0.2618  -0.98072328
0.2793  -0.96152543
0.2967  -0.98415299
0.3142  -0.95433327
0.3316  -0.96892291
0.3491  -0.95602423
0.3665  -0.89561740
0.3840  -0.91567938
0.4014  -0.92528720
0.4189  -0.97005140
0.4363  -0.91772036
0.4538  -0.88284706
0.4712  -0.90840695
0.4887  -0.90956794
0.5061  -0.92725744
0.5236  -0.92014117
0.5411  -0.91860958
0.5585  -0.90311993
0.5760  -0.86478632
0.5934  -0.91416258
0.6109  -0.86835767
0.6283  -0.87256609
0.6458  -0.92052115
0.6632  -0.84503698
0.6807  -0.80735090
0.6981  -0.83081586
0.7156  -0.89493662
0.7330  -0.85556708
0.7505  -0.83372163
0.7679  -0.86562471
0.7854  -0.78359950
0.8029  -0.90298230
0.8203  -0.83320248
0.8378  -0.78666729
0.8552  -0.69127577
0.8727  -0.79554224
0.8901  -0.83574929
0.9076  -0.78554717
0.9250  -0.74673914
0.9425  -0.75480984
0.9599  -0.77021148
0.9774  -0.77521177
0.9948  -0.66809598
1.0123  -0.74339169
1.0297  -0.70682928
1.0472  -0.67789755
1.0647  -0.66045672
1.0821  -0.76716171
1.0996  -0.60177214
1.1170  -0.63326114
1.1345  -0.70206902
1.1519  -0.62592994
1.1694  -0.64803553
1.1868  -0.64159395
1.2043  -0.47009870
1.2217  -0.56115370
1.2392  -0.61143578
1.2566  -0.63171191
1.2741  -0.47018474
1.2915  -0.44045089
1.3090  -0.59855578
1.3265  -0.56336700
1.3439  -0.42897329
1.3614  -0.51517139
1.3788  -0.51872560
1.3963  -0.40938547
1.4137  -0.47197571
1.4312  -0.46797878
1.4486  -0.32103391
1.4661  -0.42977206
1.4835  -0.43569775
1.5010  -0.51573651
1.5184  -0.28354323
1.5359  -0.36074531
1.5533  -0.33604705
1.5708  -0.13612230
1.5882  -0.28525060
1.6057  -0.35140591
1.6232  -0.35257035
1.6406  -0.22170159
1.6581  -0.32797627
1.6755  -0.15787072
1.6930  -0.13120515
1.7104  -0.10304740
1.7279  -0.15477948
1.7453  -0.12105212
1.7628   0.19754007
1.7802  -0.10480644
1.7977  -0.05539257
1.8151   0.02565345
1.8326  -0.03219402
1.8500   0.01784593
1.8675   0.08064499
1.8850  -0.15720218
1.9024  -0.22512707
1.9199  -0.06513591
1.9373   0.12364253
1.9548   0.03133783
1.9722  -0.10143324
1.9897  -0.07134485
2.0071   0.42066804
2.0246   0.15929301
2.0420   0.15709866
2.0595   0.11505090
2.0769   0.19678789
2.0944   0.23057287
2.1118   0.19836607
2.1293   0.14489253
2.1468   0.36795275
2.1642   0.28238124
2.1817   0.20961082
2.1991   0.29087969
2.2166   0.27453811
2.2340   0.31560479
2.2515   0.43061235
2.2689   0.24125119
2.2864   0.33167320
2.3038   0.28633296
2.3213   0.33867609
2.3387   0.73342171
2.3562   0.41759491
2.3736   0.40253937
2.3911   0.49001654
2.4086   0.62018060
2.4260   0.51145939
2.4435   0.67879716
2.4609   0.63008323
2.4784   0.59546157
2.4958   0.64563469
2.5133   0.77398523
2.5307   0.64196829
2.5482   0.78522159
2.5656   0.67790911
2.5831   0.88084809
2.6005   0.64344596
2.6180   0.70419837
2.6354   0.74538290
2.6529   0.73889359
2.6704   0.84182371
2.6878   0.80160912
2.7053   0.81029068
2.7227   0.87237842
2.7402   0.75683121
2.7576   0.67033919
2.7751   0.87403568
2.7925   0.85257210
2.8100   0.86110442
2.8274   0.89120568
2.8449   0.93182500
2.8623   0.87006699
2.8798   0.82757531
2.8972   0.96542065
2.9147   0.96324520
2.9322   0.89519941
2.9496   0.94385508
2.9671   0.93924113
2.9845   0.92677529
3.0020   0.93979636
3.0194   0.93138936
3.0369   1.00000000
3.0543   0.93604014
3.0718   0.91343583
3.0892   1.00000000
3.1067   0.92427218
3.1241   0.93428443
3.1416   1.00000000
