  \phi      E(\phi)
0.0000  -0.97516595
0.0175  -0.98804691
0.0349  -0.98103741
0.0524  -0.98416247
0.0698  -0.98261340
0.0873  -0.96631659
0.1047  -0.97532944
0.1222  -0.97332858
0.1396  -0.98728914
0.1571  -0.96838977
0.1745  -0.97313661
0.1920  -0.97577833
0.2094  -0.96851479
0.2269  -0.97155278
0.2443  -0.96006968
0.2618  -0.94706356
0.2793  -0.97353376
0.2967  -0.95324949
0.3142  -0.95766394
0.3316  -0.95078300
0.3491  -0.95559461
0.3665  -0.93280212
0.3840  -0.95940206
0.4014  -0.94068435
0.4189  -0.95072401
0.4363  -0.93594308
0.4538  -0.91903459
0.4712  -0.91554742
0.4887  -0.91302619
0.5061  -0.89958152
0.5236  -0.90106686
0.5411  -0.89804812
0.5585  -0.89678950
0.5760  -0.90021155
0.5934  -0.89593100
0.6109  -0.87255672
0.6283  -0.87381706
0.6458  -0.87954439
0.6632  -0.87518991
0.6807  -0.85395688
0.6981  -0.86238682
0.7156  -0.83641685
0.7330  -0.84160208
0.7505  -0.82886839
0.7679  -0.82908382
0.7854  -0.82294610
0.8029  -0.82527942
0.8203  -0.82068653
0.8378  -0.79619723
0.8552  -0.78185317
0.8727  -0.79279450
0.8901  -0.77100673
0.9076  -0.77500807
0.9250  -0.73873563
0.9425  -0.73314302
0.9599  -0.75200536
0.9774  -0.73039895
0.9948  -0.73071257
1.0123  -0.71131891
1.0297  -0.68834809
1.0472  -0.69986664
1.0647  -0.70617281
1.0821  -0.66769881
1.0996  -0.69169764
1.1170  -0.67923898
1.1345  -0.63095265
1.1519  -0.64276588
1.1694  -0.63689456
1.1868  -0.59751956
1.2043  -0.58613200
1.2217  -0.61800034
1.2392  -0.59086298
1.2566  -0.57169868
1.2741  -0.55344272
1.2915  -0.54172119
1.3090  -0.52187904
1.3265  -0.50870749
1.3439  -0.52857925
1.3614  -0.48447470
1.3788  -0.47832294
1.3963  -0.44698523
1.4137  -0.48140207
1.4312  -0.43689260
1.4486  -0.42099465
1.4661  -0.36660143
1.4835  -0.40436042
1.5010  -0.37134374
1.5184  -0.36804432
1.5359  -0.34863074
1.5533  -0.31694958
1.5708  -0.31802438
1.5882  -0.31416096
1.6057  -0.31226723
1.6232  -0.29192564
1.6406  -0.27146606
1.6581  -0.23787863
1.6755  -0.24432544
1.6930  -0.20308236
1.7104  -0.22772184
1.7279  -0.14074700
1.7453  -0.13557897
1.7628  -0.18120882
1.7802  -0.12269476
1.7977  -0.12632506
1.8151  -0.10322692
1.8326  -0.05293095
1.8500  -0.04375731
1.8675  -0.05172602
1.8850  -0.02617390
1.9024   0.04683850
1.9199  -0.00262421
1.9373   0.04616776
1.9548   0.01923972
1.9722   0.04120309
1.9897   0.04770789
2.0071   0.12217709
2.0246   0.11062438
2.0420   0.14965862
2.0595   0.19703684
2.0769   0.14279796
2.0944   0.17943470
2.1118   0.20965480
2.1293   0.20091292
2.1468   0.19233818
2.1642   0.25436318
2.1817   0.30405926
2.1991   0.32144431
2.2166   0.31255268
2.2340   0.35404193
2.2515   0.35757860
2.2689   0.36303173
2.2864   0.41178453
2.3038   0.44951340
2.3213   0.45155618
2.3387   0.43501272
2.3562   0.47062373
2.3736   0.48231923
2.3911   0.53444736
2.4086   0.52248170
2.4260   0.52898150
2.4435   0.58835338
2.4609   0.61733906
2.4784   0.60406339
2.4958   0.58284266
2.5133   0.62281343
2.5307   0.63834474
2.5482   0.68972043
2.5656   0.69126010
2.5831   0.65871454
2.6005   0.72211850
2.6180   0.70606506
2.6354   0.77623478
2.6529   0.76969438
2.6704   0.73571901
2.6878   0.80175794
2.7053   0.82743260
2.7227   0.78707610
2.7402   0.80799727
2.7576   0.85226208
2.7751   0.86164629
2.7925   0.83036205
2.8100   0.87115339
2.8274   0.86578483
2.8449   0.86850467
2.8623   0.88919173
2.8798   0.90173628
2.8972   0.88401840
2.9147   0.93302313
2.9322   0.92396957
2.9496   0.91278976
2.9671   0.93337831
2.9845   0.90994483
3.0020   0.98274207
3.0194   0.95484333
3.0369   0.95942894
3.0543   0.97021754
3.0718   0.97812100
3.0892   0.97004636
3.1067   0.96703765
3.1241   0.95924543
3.1416   0.96250998
