  \phi      E(\phi)
0.0000  -1.00000000
0.0175  -1.00000000
0.0349  -1.00000000
0.0524  -1.00000000
0.0698  -1.00000000
0.0873  -1.00000000
0.1047  -1.00000000
0.1222  -1.00000000
0.1396  -1.00000000
0.1571  -1.00000000
0.1745  -1.00000000
0.1920  -1.00000000
0.2094  -1.00000000
0.2269  -0.95793590
0.2443  -1.00000000
0.2618  -0.96851594
0.2793  -1.00000000
0.2967  -1.00000000
0.3142  -1.00000000
0.3316  -0.96505000
0.3491  -1.00000000
0.3665  -0.95213224
0.3840  -0.87254032
0.4014  -1.00000000
0.4189  -0.96012832
0.4363  -0.88954230
0.4538  -1.00000000
0.4712  -0.95460563
0.4887  -0.87314893
0.5061  -0.89399360
0.5236  -0.91694324
0.5411  -0.91808028
0.5585  -0.85838269
0.5760  -0.83802013
0.5934  -0.92805366
0.6109  -0.83849668
0.6283  -0.90689574
0.6458  -0.87637257
0.6632  -0.88186867
0.6807  -1.00000000
0.6981  -0.76888499
0.7156  -0.79698273
0.7330  -0.91572497
0.7505  -0.89853736
0.7679  -0.66569109
0.7854  -0.93156180
0.8029  -1.00000000
0.8203  -0.93039133
0.8378  -0.81022821
0.8552  -0.84902063
0.8727  -0.90791234
0.8901  -0.72819985
0.9076  -0.75099863
0.9250  -0.71127075
0.9425  -0.60852665
0.9599  -0.73930467
0.9774  -0.86386963
0.9948  -0.76806571
1.0123  -0.65262155
1.0297  -0.71714408
1.0472  -0.71567030
1.0647  -0.61736743
1.0821  -0.77603386
1.0996  -0.58211082
1.1170  -0.64682281
1.1345  -0.66870837
1.1519  -0.50919826
1.1694  -0.81455938
1.1868  -0.47953937
1.2043  -0.52048408
1.2217  -0.61943719
1.2392  -0.58447511
1.2566  -0.58472612
1.2741  -0.71779037
1.2915  -0.50142790
1.3090  -0.65717807
1.3265  -0.52915424
1.3439  -0.59865054
1.3614  -0.60230653
1.3788  -0.62474529
1.3963  -0.58611393
1.4137  -0.47083777
1.4312  -0.39773415
1.4486  -0.32806055
1.4661  -0.46012431
1.4835  -0.30363991
1.5010  -0.28112456
1.5184  -0.28972556
1.5359  -0.04779199
1.5533  -0.27331532
1.5708  -0.29387344
1.5882  -0.52592474
1.6057  -0.17959350
1.6232  -0.42754713
1.6406  -0.18243582
1.6581  -0.30905031
1.6755  -0.26952174
1.6930  -0.37815969
1.7104  -0.10383901
1.7279   0.21726466
1.7453  -0.28596587
1.7628   0.08997365
1.7802  -0.10790506
1.7977   0.01728347
1.8151   0.17750593
1.8326   0.13991441
1.8500   0.09337694
1.8675   0.11844685
1.8850   0.18589543
1.9024   0.39306330
1.9199  -0.00542620
1.9373  -0.12337568
1.9548   0.45848234
1.9722   0.34115743
1.9897   0.06674342
2.0071  -0.41279722
2.0246  -0.22242605
2.0420  -0.34115913
2.0595  -0.28206415
2.0769   0.00853040
2.0944   0.15061782
2.1118  -0.22029766
2.1293   0.28518912
2.1468   0.40156366
2.1642   0.15408664
2.1817  -0.01828005
2.1991   0.27752871
2.2166   0.43266024
2.2340   0.27907978
2.2515   0.12925153
2.2689   0.60113018
2.2864   0.48876555
2.3038   0.49474429
2.3213   0.49314545
2.3387   0.80169268
2.3562   0.83061980
2.3736   0.28131380
2.3911   0.41336640
2.4086   0.35394634
2.4260   0.54501124
2.4435   0.31177712
2.4609   0.69952919
2.4784   0.45517297
2.4958   0.67864918
2.5133   0.25803059
2.5307   0.72109553
2.5482   0.74986780
2.5656   0.38966804
2.5831   0.47803390
2.6005   0.68403544
2.6180   1.00000000
2.6354   0.60907908
2.6529   0.78278939
2.6704   0.80010098
2.6878   0.61424034
2.7053   0.75490212
2.7227   0.84723418
2.7402   0.66993836
2.7576   0.73635214
2.7751   1.00000000
2.7925   0.74593483
2.8100   0.79336967
2.8274   1.00000000
2.8449   0.64477212
2.8623   0.87147078
2.8798   1.00000000
2.8972   1.00000000
2.9147   0.87585477
2.9322   1.00000000
2.9496   1.00000000
2.9671   1.00000000
2.9845   1.00000000
3.0020   1.00000000
3.0194   1.00000000
3.0369   1.00000000
3.0543   1.00000000
3.0718   1.00000000
3.0892   1.00000000
3.1067   1.00000000
3.1241   1.00000000
3.1416   1.00000000
