  \phi      E(\phi)
0.0000  -1.00000000
0.0175  -1.00000000
0.0349  -1.00000000
0.0524  -1.00000000
0.0698  -1.00000000
0.0873  -1.00000000
0.1047  -1.00000000
0.1222  -1.00000000
0.1396  -1.00000000
0.1571  -1.00000000
0.1745  -1.00000000
0.1920  -1.00000000
0.2094  -1.00000000
0.2269  -1.00000000
0.2443  -0.95397249
0.2618  -0.93373921
0.2793  -0.82530458
0.2967  -0.91741779
0.3142  -0.94732643
0.3316  -0.96761807
0.3491  -1.00000000
0.3665  -0.88955457
0.3840  -1.00000000
0.4014  -0.93328425
0.4189  -0.85393924
0.4363  -0.93165243
0.4538  -0.91075009
0.4712  -1.00000000
0.4887  -1.00000000
0.5061  -0.89889830
0.5236  -1.00000000
0.5411  -1.00000000
0.5585  -0.93080193
0.5760  -0.87556690
0.5934  -0.92320591
0.6109  -0.83714872
0.6283  -0.84762506
0.6458  -0.83538565
0.6632  -0.87008393
0.6807  -0.95288009
0.6981  -0.90724447
0.7156  -0.85185296
0.7330  -0.89936685
0.7505  -0.76899763
0.7679  -0.84116267
0.7854  -0.61138187
0.8029  -0.54544462
0.8203  -0.85320190
0.8378  -0.83651338
0.8552  -0.75851313
0.8727  -0.68956290
0.8901  -0.68780205
0.9076  -0.76441399
0.9250  -0.75539365
0.9425  -0.94265678
0.9599  -0.69826491
0.9774  -0.71461836
0.9948  -0.57479715
1.0123  -0.42962389
1.0297  -0.78210170
1.0472  -0.63097832
1.0647  -0.66419094
1.0821  -0.62595500
1.0996  -0.79494385
1.1170  -0.76836841
1.1345  -0.57549903
1.1519  -0.57959663
1.1694  -0.54194948
1.1868  -0.67213105
1.2043  -0.60143059
1.2217  -0.61231760
1.2392  -0.62972572
1.2566  -0.50802648
1.2741  -0.82298386
1.2915  -0.49259907
1.3090  -0.50671492
1.3265  -0.44492355
1.3439  -0.61517525
1.3614  -0.40842180
1.3788  -0.43713474
1.3963  -0.64322510
1.4137  -0.73743961
1.4312  -0.28572605
1.4486  -0.38846856
1.4661  -0.02178556
1.4835  -0.51372802
1.5010  -0.45257242
1.5184  -0.11434615
1.5359  -0.70671569
1.5533  -0.39100293
1.5708  -0.36402716
1.5882  -0.45956489
1.6057  -0.42766662
1.6232  -0.12520380
1.6406  -0.24354479
1.6581  -0.35323045
1.6755  -0.06195798
1.6930   0.09499247
1.7104  -0.29716291
1.7279  -0.04002690
1.7453  -0.07690016
1.7628  -0.24152099
1.7802  -0.03509791
1.7977  -0.17382012
1.8151  -0.23467107
1.8326  -0.04987387
1.8500  -0.23062002
1.8675  -0.34833904
1.8850   0.42164442
1.9024   0.21840454
1.9199  -0.40368195
1.9373  -0.15371918
1.9548   0.10591859
1.9722  -0.15818731
1.9897   0.10994592
2.0071  -0.16996674
2.0246   0.45245216
2.0420   0.21333444
2.0595   0.36723615
2.0769   0.32313709
2.0944   0.65933765
2.1118   0.62747094
2.1293  -0.17146106
2.1468   0.04823665
2.1642   0.41168314
2.1817   1.00000000
2.1991   0.05978730
2.2166   0.63968730
2.2340   0.24049264
2.2515   0.34348716
2.2689   0.47123441
2.2864   0.01125565
2.3038   1.00000000
2.3213   0.10723089
2.3387   1.00000000
2.3562   0.51340430
2.3736   0.63124095
2.3911   0.68126881
2.4086   0.42684659
2.4260   0.68526768
2.4435   0.39738227
2.4609   0.67948119
2.4784   0.47821736
2.4958   0.56787303
2.5133   0.34798880
2.5307   0.63120462
2.5482   0.79719237
2.5656   0.05725386
2.5831   0.55108354
2.6005   0.51447727
2.6180   0.74486178
2.6354   0.71730574
2.6529   0.57953314
2.6704   0.71386543
2.6878   1.00000000
2.7053   0.59024243
2.7227   1.00000000
2.7402   0.71537908
2.7576   1.00000000
2.7751   0.77028039
2.7925   0.88634593
2.8100   0.82963744
2.8274   0.88038219
2.8449   0.66413200
2.8623   1.00000000
2.8798   1.00000000
2.8972   1.00000000
2.9147   1.00000000
2.9322   0.87649256
2.9496   0.81810608
2.9671   0.82938822
2.9845   1.00000000
3.0020   1.00000000
3.0194   1.00000000
3.0369   1.00000000
3.0543   1.00000000
3.0718   1.00000000
3.0892   1.00000000
3.1067   1.00000000
3.1241   1.00000000
3.1416   0.82346373
