  \phi      E(\phi)
0.0000  -0.97075593
0.0175  -0.93758474
0.0349  -1.00000000
0.0524  -0.99122831
0.0698  -1.00000000
0.0873  -0.96169161
0.1047  -1.00000000
0.1222  -0.99008919
0.1396  -1.00000000
0.1571  -1.00000000
0.1745  -1.00000000
0.1920  -0.94160545
0.2094  -1.00000000
0.2269  -1.00000000
0.2443  -0.98976916
0.2618  -1.00000000
0.2793  -0.92558433
0.2967  -1.00000000
0.3142  -0.97201953
0.3316  -0.97843982
0.3491  -0.90082218
0.3665  -0.89348449
0.3840  -0.98851090
0.4014  -0.93736793
0.4189  -0.93279681
0.4363  -0.93224210
0.4538  -0.92511435
0.4712  -0.85999207
0.4887  -0.88544550
0.5061  -0.89868541
0.5236  -0.84306075
0.5411  -0.87726093
0.5585  -0.89373481
0.5760  -0.95112289
0.5934  -0.92855599
0.6109  -0.86869196
0.6283  -0.88693014
0.6458  -0.94463483
0.6632  -0.83782935
0.6807  -0.88474445
0.6981  -0.85087309
0.7156  -0.88209688
0.7330  -0.80053635
0.7505  -0.84501747
0.7679  -0.83181826
0.7854  -0.81231629
0.8029  -0.78919525
0.8203  -0.75424811
0.8378  -0.82729813
0.8552  -0.85936774
0.8727  -0.75048674
0.8901  -0.76242579
0.9076  -0.70491416
0.9250  -0.83037739
0.9425  -0.71977947
0.9599  -0.70993851
0.9774  -0.68947215
0.9948  -0.77371493
1.0123  -0.74632936
1.0297  -0.71138441
1.0472  -0.70690464
1.0647  -0.56581460
1.0821  -0.66095639
1.0996  -0.61546131
1.1170  -0.61586217
1.1345  -0.65846944
1.1519  -0.70549855
1.1694  -0.64438998
1.1868  -0.52597431
1.2043  -0.59674475
1.2217  -0.66407997
1.2392  -0.67653037
1.2566  -0.48681921
1.2741  -0.57561069
1.2915  -0.58545226
1.3090  -0.56549117
1.3265  -0.58297338
1.3439  -0.45883650
1.3614  -0.55086043
1.3788  -0.47844216
1.3963  -0.40039443
1.4137  -0.40242235
1.4312  -0.20907892
1.4486  -0.29405999
1.4661  -0.38578904
1.4835  -0.37413769
1.5010  -0.47496139
1.5184  -0.30757647
1.5359  -0.28209808
1.5533  -0.34811959
1.5708  -0.16452375
1.5882  -0.33771938
1.6057  -0.21172786
1.6232  -0.35405575
1.6406  -0.19480710
1.6581  -0.12112587
1.6755  -0.33787434
1.6930  -0.21315359
1.7104  -0.17829595
1.7279  -0.16426759
1.7453  -0.28519048
1.7628  -0.02673682
1.7802  -0.13849879
1.7977  -0.05736036
1.8151   0.00656507
1.8326  -0.30112835
1.8500   0.01237865
1.8675  -0.07829149
1.8850  -0.03376280
1.9024   0.10282618
1.9199   0.07205173
1.9373  -0.10228885
1.9548   0.01613520
1.9722  -0.04490983
1.9897   0.02571475
2.0071   0.16504819
2.0246  -0.09291391
2.0420   0.12534062
2.0595   0.02111033
2.0769   0.05318097
2.0944   0.23009406
2.1118   0.02944865
2.1293   0.32264215
2.1468   0.00268117
2.1642   0.32540760
2.1817   0.30913204
2.1991   0.29728818
2.2166   0.19754390
2.2340   0.51354299
2.2515   0.49449814
2.2689   0.39847578
2.2864   0.36378821
2.3038   0.23199569
2.3213   0.46403562
2.3387   0.47144141
2.3562   0.65160552
2.3736   0.65679039
2.3911   0.67388233
2.4086   0.63301976
2.4260   0.39712997
2.4435   0.62516803
2.4609   0.63239345
2.4784   0.65758229
2.4958   0.43229034
2.5133   0.83708814
2.5307   0.82238476
2.5482   0.53406558
2.5656   0.70157537
2.5831   0.83263350
2.6005   0.80674926
2.6180   0.82906688
2.6354   0.57916560
2.6529   0.75883650
2.6704   0.88269707
2.6878   0.52352592
2.7053   0.72622190
2.7227   0.88293337
2.7402   0.84303683
2.7576   0.53082643
2.7751   0.85786214
2.7925   0.76743586
2.8100   0.77025463
2.8274   0.95690040
2.8449   0.85815878
2.8623   0.82811114
2.8798   1.00000000
2.8972   0.88533939
2.9147   1.00000000
2.9322   0.83368908
2.9496   1.00000000
2.9671   1.00000000
2.9845   1.00000000
3.0020   0.96388652
3.0194   0.91611463
3.0369   0.96021219
3.0543   1.00000000
3.0718   1.00000000
3.0892   1.00000000
3.1067   0.91037325
3.1241   1.00000000
3.1416   0.90151013
