  \phi      E(\phi)
0.0000  -0.88432330
0.0175  -1.00000000
0.0349  -1.00000000
0.0524  -0.98959216
0.0698  -1.00000000
0.0873  -1.00000000
0.1047  -1.00000000
0.1222  -0.96818917
0.1396  -0.97033941
0.1571  -1.00000000
0.1745  -0.96000087
0.1920  -0.98065822
0.2094  -0.98979335
0.2269  -0.96431145
0.2443  -0.97335820
0.2618  -0.93768985
0.2793  -0.98793422
0.2967  -1.00000000
0.3142  -0.98948532
0.3316  -1.00000000
0.3491  -0.96358663
0.3665  -0.97078591
0.3840  -0.92451372
0.4014  -0.90500617
0.4189  -0.92485047
0.4363  -0.97603665
0.4538  -0.96087030
0.4712  -0.94981711
0.4887  -0.92316206
0.5061  -0.92101286
0.5236  -0.95409717
0.5411  -0.88834813
0.5585  -0.92275491
0.5760  -0.92761841
0.5934  -0.93650224
0.6109  -0.93856822
0.6283  -0.94266969
0.6458  -0.86297578
0.6632  -0.86569067
0.6807  -0.92717788
0.6981  -0.85335367
0.7156  -0.88924276
0.7330  -0.82198173
0.7505  -0.89055075
0.7679  -0.80727531
0.7854  -0.75504342
0.8029  -0.82363487
0.8203  -0.84196067
0.8378  -0.77590901
0.8552  -0.77687942
0.8727  -0.82175433
0.8901  -0.75733677
0.9076  -0.79371649
0.9250  -0.67595380
0.9425  -0.71126533
0.9599  -0.75390536
0.9774  -0.71024125
0.9948  -0.77976707
1.0123  -0.70195802
1.0297  -0.67813696
1.0472  -0.67718870
1.0647  -0.67846834
1.0821  -0.70538402
1.0996  -0.74509107
1.1170  -0.59539257
1.1345  -0.54487647
1.1519  -0.67857622
1.1694  -0.67163415
1.1868  -0.65607197
1.2043  -0.64767347
1.2217  -0.57710475
1.2392  -0.63755669
1.2566  -0.40237863
1.2741  -0.57014892
1.2915  -0.44586794
1.3090  -0.52627078
1.3265  -0.40257785
1.3439  -0.59951705
1.3614  -0.50320070
1.3788  -0.35351719
1.3963  -0.49160499
1.4137  -0.41889846
1.4312  -0.49371157
1.4486  -0.58099719
1.4661  -0.42768904
1.4835  -0.40874230
1.5010  -0.51310068
1.5184  -0.49832342
1.5359  -0.24121316
1.5533  -0.30595154
1.5708  -0.42875332
1.5882  -0.41125205
1.6057  -0.26528630
1.6232  -0.23724345
1.6406  -0.11783019
1.6581  -0.20034444
1.6755  -0.37447723
1.6930  -0.25983337
1.7104  -0.30111869
1.7279  -0.24557645
1.7453  -0.16485052
1.7628  -0.14669622
1.7802  -0.20077421
1.7977  -0.00365734
1.8151  -0.18146561
1.8326   0.01850908
1.8500  -0.07381594
1.8675  -0.05277434
1.8850  -0.03672732
1.9024   0.18488760
1.9199   0.21553359
1.9373   0.23010845
1.9548   0.19544404
1.9722   0.03566469
1.9897   0.00047074
2.0071   0.12447320
2.0246   0.07802697
2.0420   0.24737564
2.0595   0.22773481
2.0769   0.00602058
2.0944   0.10337130
2.1118   0.23625911
2.1293   0.33523129
2.1468   0.34868461
2.1642   0.48522116
2.1817   0.32122973
2.1991   0.51657858
2.2166   0.48420313
2.2340   0.35469495
2.2515   0.32506128
2.2689   0.37404164
2.2864   0.21598313
2.3038   0.42753244
2.3213   0.34538537
2.3387   0.49842002
2.3562   0.39870196
2.3736   0.37399782
2.3911   0.42636739
2.4086   0.55718243
2.4260   0.40569501
2.4435   0.70830523
2.4609   0.51588759
2.4784   0.45659982
2.4958   0.50836874
2.5133   0.64228000
2.5307   0.58056235
2.5482   0.52425577
2.5656   0.67334875
2.5831   0.70176527
2.6005   0.72854466
2.6180   0.78084475
2.6354   0.69117967
2.6529   0.65734393
2.6704   0.70650278
2.6878   0.81109947
2.7053   0.72355282
2.7227   0.85276815
2.7402   0.81563415
2.7576   0.71563754
2.7751   0.93217306
2.7925   0.87699165
2.8100   0.86208785
2.8274   0.65060356
2.8449   0.69698898
2.8623   0.95712743
2.8798   0.83400141
2.8972   0.86975886
2.9147   0.90235143
2.9322   0.91606703
2.9496   0.95749486
2.9671   1.00000000
2.9845   1.00000000
3.0020   0.95320184
3.0194   1.00000000
3.0369   0.91431254
3.0543   0.96510023
3.0718   1.00000000
3.0892   0.87642842
3.1067   0.93187787
3.1241   1.00000000
3.1416   1.00000000
