  \phi      E(\phi)
0.0000  -1.00000000
0.0349  -1.00000000
0.0698  -0.93920877
0.1047  -0.97802052
0.1396  -0.97927993
0.1745  -0.96238775
0.2094  -0.95683464
0.2443  -0.96114031
0.2793  -0.95276756
0.3142  -0.93760979
0.3491  -0.98067527
0.3840  -0.89727715
0.4189  -0.88956586
0.4538  -0.90187203
0.4887  -0.83587135
0.5236  -0.88288843
0.5585  -0.71466262
0.5934  -0.81165262
0.6283  -0.79775751
0.6632  -0.73861311
0.6981  -0.77567525
0.7330  -0.73054294
0.7679  -0.75653221
0.8029  -0.71186521
0.8378  -0.68617454
0.8727  -0.65157259
0.9076  -0.68533861
0.9425  -0.55517754
0.9774  -0.53908251
1.0123  -0.47792123
1.0472  -0.51567737
1.0821  -0.43590989
1.1170  -0.31774934
1.1519  -0.33167186
1.1868  -0.39821086
1.2217  -0.39481528
1.2566  -0.22764434
1.2915  -0.18507636
1.3265  -0.29044000
1.3614  -0.23438206
1.3963  -0.14233257
1.4312  -0.16196352
1.4661  -0.11174397
1.5010   0.03113291
1.5359  -0.01398420
1.5708  -0.00072645
1.6057   0.06682008
1.6406   0.04157723
1.6755   0.04981767
1.7104   0.07719866
1.7453   0.08809623
1.7802   0.06317402
1.8151   0.27009107
1.8500   0.31862001
1.8850   0.31486754
1.9199   0.29312467
1.9548   0.37815033
1.9897   0.32932845
2.0246   0.40544882
2.0595   0.48136169
2.0944   0.43004853
2.1293   0.44202935
2.1642   0.42975207
2.1991   0.58758883
2.2340   0.47009557
2.2689   0.63389463
2.3038   0.61777614
2.3387   0.74790540
2.3736   0.71607150
2.4086   0.75270617
2.4435   0.73077977
2.4784   0.70610434
2.5133   0.73272190
2.5482   0.84505258
2.5831   0.89230956
2.6180   0.85320639
2.6529   0.90135145
2.6878   0.87144772
2.7227   0.83935000
2.7576   0.90362541
2.7925   0.88289484
2.8274   0.92896565
2.8623   0.94665654
2.8972   0.90547330
2.9322   0.93305245
2.9671   0.95853998
3.0020   0.98457721
3.0369   0.96115370
3.0718   0.95918367
3.1067   0.96189080
3.1416   0.98251979
