  \phi      E(\phi)
0.0000  -0.95395897
0.0175  -0.93299086
0.0349  -0.94627237
0.0524  -1.00000000
0.0698  -1.00000000
0.0873  -1.00000000
0.1047  -1.00000000
0.1222  -0.94387702
0.1396  -0.92446868
0.1571  -0.90487617
0.1745  -0.93609106
0.1920  -1.00000000
0.2094  -0.94360460
0.2269  -1.00000000
0.2443  -1.00000000
0.2618  -1.00000000
0.2793  -0.87418268
0.2967  -1.00000000
0.3142  -1.00000000
0.3316  -0.91500298
0.3491  -1.00000000
0.3665  -0.85271488
0.3840  -1.00000000
0.4014  -0.90453148
0.4189  -0.92617911
0.4363  -0.84482296
0.4538  -0.94405857
0.4712  -1.00000000
0.4887  -0.85743301
0.5061  -0.75182203
0.5236  -0.86765156
0.5411  -0.79607509
0.5585  -1.00000000
0.5760  -0.78766923
0.5934  -0.92974618
0.6109  -0.75837130
0.6283  -0.84088340
0.6458  -0.95056770
0.6632  -1.00000000
0.6807  -0.78581236
0.6981  -0.70452758
0.7156  -0.67338782
0.7330  -0.73557930
0.7505  -0.80543083
0.7679  -0.79371069
0.7854  -0.66691502
0.8029  -0.63896327
0.8203  -0.62531224
0.8378  -0.61364697
0.8552  -0.91164206
0.8727  -0.70380484
0.8901  -0.69279413
0.9076  -0.51149973
0.9250  -0.34223673
0.9425  -0.38370045
0.9599  -0.59162240
0.9774  -0.27692432
0.9948  -0.16132700
1.0123  -0.40521554
1.0297  -0.41504849
1.0472  -0.39839006
1.0647  -0.50033366
1.0821  -0.21739615
1.0996  -0.27612495
1.1170  -0.29281685
1.1345  -0.59896660
1.1519  -0.56923989
1.1694  -0.28938480
1.1868  -0.17653387
1.2043  -0.18359714
1.2217  -0.34666619
1.2392   0.24050352
1.2566  -0.44381313
1.2741  -0.50020017
1.2915  -0.30034924
1.3090  -0.04654815
1.3265  -0.46488781
1.3439  -0.54132941
1.3614  -0.28222344
1.3788  -0.20107148
1.3963  -0.21143556
1.4137  -0.27578546
1.4312   0.10489654
1.4486  -0.21170418
1.4661  -0.20950382
1.4835  -0.42138457
1.5010   0.27682464
1.5184  -0.05872818
1.5359  -0.21503704
1.5533  -0.17258825
1.5708  -0.14031565
1.5882  -0.17496437
1.6057  -0.20273462
1.6232   0.15808593
1.6406  -0.17298296
1.6581   0.38492376
1.6755   0.06279238
1.6930   0.23939767
1.7104   0.31038347
1.7279   0.18917512
1.7453  -0.17862816
1.7628   0.17333585
1.7802   0.36174480
1.7977   0.04052699
1.8151  -0.00501215
1.8326   0.72046213
1.8500   0.24109952
1.8675   0.20960104
1.8850   0.28374317
1.9024   0.19879324
1.9199   0.38051662
1.9373   0.70507047
1.9548   0.38244198
1.9722   0.74957449
1.9897   0.85882518
2.0071   0.78638806
2.0246   0.57703484
2.0420   0.39685299
2.0595   0.54434146
2.0769   0.34694511
2.0944   0.20685700
2.1118   0.58902726
2.1293   0.75807963
2.1468   0.41398355
2.1642   0.62986451
2.1817   0.50355113
2.1991   0.48363386
2.2166   0.56628297
2.2340   0.63807682
2.2515   0.40265796
2.2689   0.70507084
2.2864   0.44495413
2.3038   0.65929112
2.3213   0.62640212
2.3387   0.81670786
2.3562   0.34153759
2.3736   0.79721002
2.3911   0.79353357
2.4086   0.79990487
2.4260   0.71372489
2.4435   0.67935563
2.4609   0.90809247
2.4784   0.63612456
2.4958   0.73136441
2.5133   0.84853510
2.5307   0.74222504
2.5482   0.83387371
2.5656   0.67211911
2.5831   0.91033228
2.6005   0.86119683
2.6180   0.85344926
2.6354   1.00000000
2.6529   0.91590196
2.6704   0.92803290
2.6878   0.78701631
2.7053   0.81046652
2.7227   0.69239893
2.7402   0.94326630
2.7576   1.00000000
2.7751   0.90258987
2.7925   1.00000000
2.8100   0.93316474
2.8274   1.00000000
2.8449   0.89090332
2.8623   1.00000000
2.8798   1.00000000
2.8972   0.94696412
2.9147   1.00000000
2.9322   1.00000000
2.9496   0.89225589
2.9671   1.00000000
2.9845   1.00000000
3.0020   1.00000000
3.0194   0.94979235
3.0369   1.00000000
3.0543   1.00000000
3.0718   1.00000000
3.0892   1.00000000
3.1067   1.00000000
3.1241   1.00000000
3.1416   1.00000000
