  \phi      E(\phi)
0.0000  -0.98651736
0.0175  -0.99123892
0.0349  -0.99265456
0.0524  -0.98449048
0.0698  -0.99093888
0.0873  -0.99096321
0.1047  -0.98545003
0.1222  -0.98722295
0.1396  -0.97980404
0.1571  -0.98911172
0.1745  -0.98335345
0.1920  -0.98106217
0.2094  -0.96868087
0.2269  -0.97276857
0.2443  -0.96883492
0.2618  -0.96078951
0.2793  -0.96895797
0.2967  -0.97048002
0.3142  -0.94761432
0.3316  -0.95659477
0.3491  -0.95531440
0.3665  -0.94182575
0.3840  -0.94731738
0.4014  -0.95151474
0.4189  -0.94057403
0.4363  -0.93675115
0.4538  -0.92893590
0.4712  -0.92418891
0.4887  -0.93345305
0.5061  -0.90173919
0.5236  -0.90950716
0.5411  -0.90422210
0.5585  -0.91370677
0.5760  -0.89548669
0.5934  -0.89786395
0.6109  -0.87660380
0.6283  -0.86709820
0.6458  -0.86058808
0.6632  -0.87006532
0.6807  -0.86142480
0.6981  -0.86308693
0.7156  -0.82266635
0.7330  -0.81616347
0.7505  -0.82136867
0.7679  -0.80998178
0.7854  -0.81355224
0.8029  -0.80114158
0.8203  -0.80425938
0.8378  -0.78469489
0.8552  -0.77156697
0.8727  -0.77044992
0.8901  -0.76727149
0.9076  -0.75691423
0.9250  -0.74756085
0.9425  -0.74042024
0.9599  -0.73263743
0.9774  -0.72886193
0.9948  -0.70139648
1.0123  -0.69432896
1.0297  -0.68093618
1.0472  -0.69268731
1.0647  -0.67840186
1.0821  -0.66629471
1.0996  -0.64404165
1.1170  -0.62222433
1.1345  -0.61609053
1.1519  -0.60801836
1.1694  -0.60404489
1.1868  -0.58233150
1.2043  -0.58890080
1.2217  -0.55928051
1.2392  -0.54929287
1.2566  -0.54258053
1.2741  -0.51103724
1.2915  -0.48615477
1.3090  -0.52118888
1.3265  -0.46368384
1.3439  -0.44459144
1.3614  -0.44660596
1.3788  -0.44626050
1.3963  -0.44349363
1.4137  -0.39289463
1.4312  -0.38756827
1.4486  -0.38053452
1.4661  -0.39739757
1.4835  -0.37826048
1.5010  -0.31456441
1.5184  -0.30276355
1.5359  -0.28359064
1.5533  -0.32472858
1.5708  -0.25004586
1.5882  -0.24962797
1.6057  -0.22501574
1.6232  -0.25646191
1.6406  -0.22926832
1.6581  -0.21909316
1.6755  -0.17384564
1.6930  -0.12236233
1.7104  -0.18215099
1.7279  -0.13537541
1.7453  -0.12249306
1.7628  -0.10775335
1.7802  -0.04149889
1.7977  -0.03996438
1.8151  -0.03314628
1.8326  -0.02820291
1.8500   0.01025998
1.8675  -0.00521393
1.8850   0.04353754
1.9024   0.01094353
1.9199   0.10965358
1.9373   0.06436891
1.9548   0.11854964
1.9722   0.13353780
1.9897   0.15937231
2.0071   0.15198637
2.0246   0.16160043
2.0420   0.22737539
2.0595   0.20349898
2.0769   0.24996545
2.0944   0.26987865
2.1118   0.23745190
2.1293   0.30385264
2.1468   0.29250214
2.1642   0.30699253
2.1817   0.40003814
2.1991   0.36082503
2.2166   0.37859974
2.2340   0.38651836
2.2515   0.42216735
2.2689   0.40650921
2.2864   0.45894792
2.3038   0.44162701
2.3213   0.51464864
2.3387   0.52192377
2.3562   0.51958325
2.3736   0.53487263
2.3911   0.57421147
2.4086   0.60613670
2.4260   0.56256424
2.4435   0.60842998
2.4609   0.58750757
2.4784   0.68429278
2.4958   0.66562657
2.5133   0.70676630
2.5307   0.66908808
2.5482   0.64463020
2.5656   0.70758960
2.5831   0.72155918
2.6005   0.73526971
2.6180   0.73618997
2.6354   0.73065748
2.6529   0.75535975
2.6704   0.78522366
2.6878   0.80688566
2.7053   0.78642231
2.7227   0.83142075
2.7402   0.82431746
2.7576   0.83890950
2.7751   0.84557549
2.7925   0.86736339
2.8100   0.89258858
2.8274   0.89008170
2.8449   0.90812710
2.8623   0.88794199
2.8798   0.93084845
2.8972   0.91076150
2.9147   0.93102091
2.9322   0.93968773
2.9496   0.93882622
2.9671   0.95917187
2.9845   0.93874166
3.0020   0.95313791
3.0194   0.91838298
3.0369   0.95400127
3.0543   0.95351700
3.0718   0.94353897
3.0892   0.97312006
3.1067   0.96622709
3.1241   0.95772312
3.1416   0.96471894
