  \phi      E(\phi)
0.0000  -0.90929526
0.0317  -1.00000000
0.0635  -0.94644227
0.0952  -1.00000000
0.1269  -1.00000000
0.1587  -1.00000000
0.1904  -1.00000000
0.2221  -0.90929260
0.2539  -0.92796244
0.2856  -0.94225129
0.3173  -0.94194589
0.3491  -0.94569750
0.3808  -0.92335366
0.4125  -0.76995241
0.4443  -1.00000000
0.4760  -0.83775193
0.5077  -0.87063784
0.5395  -0.90492983
0.5712  -0.92953187
0.6029  -0.78450864
0.6347  -0.81815657
0.6664  -0.67745588
0.6981  -0.67824731
0.7299  -0.84557513
0.7616  -0.73166037
0.7933  -0.68466606
0.8251  -0.51867832
0.8568  -0.58680366
0.8885  -0.72118691
0.9203  -0.31181770
0.9520  -0.49439751
0.9837  -0.36110439
1.0155  -0.44281175
1.0472  -0.49992144
1.0789  -0.44194634
1.1107  -0.46146532
1.1424  -0.33396731
1.1741  -0.87112946
1.2059  -0.55576623
1.2376  -0.40719958
1.2693   0.03489621
1.3011  -0.00225206
1.3328  -0.33809736
1.3645  -0.05673195
1.3963  -0.23938528
1.4280   0.04253741
1.4597   0.05692138
1.4915  -0.33798876
1.5232   0.03249776
1.5549  -0.27756617
1.5867   0.32670847
1.6184  -0.02985624
1.6501   0.14553547
1.6819  -0.00149819
1.7136   0.30901319
1.7453  -0.07764506
1.7771  -0.06736707
1.8088   0.37337324
1.8405   0.18598040
1.8723   0.20386065
1.9040   0.21192890
1.9357   0.11484420
1.9675   0.39285893
1.9992   0.51970045
2.0309   0.55275462
2.0627   0.65686766
2.0944   0.45389369
2.1261   0.43932661
2.1579   0.83543920
2.1896   1.00000000
2.2213   0.59975703
2.2531   0.65250932
2.2848   0.61582217
2.3165   0.73266155
2.3483   0.55849976
2.3800   0.79325927
2.4117   0.81785036
2.4435   0.57096794
2.4752   0.73218976
2.5069   0.76903430
2.5387   0.71573211
2.5704   0.70085953
2.6021   0.70519862
2.6339   1.00000000
2.6656   0.86588306
2.6973   0.88472557
2.7291   0.86711793
2.7608   0.93541458
2.7925   1.00000000
2.8243   1.00000000
2.8560   1.00000000
2.8877   1.00000000
2.9195   1.00000000
2.9512   1.00000000
2.9829   1.00000000
3.0147   1.00000000
3.0464   1.00000000
3.0781   1.00000000
3.1099   1.00000000
3.1416   0.93720544
