  \phi      E(\phi)
0.0000  -0.37012544
0.0175  -0.38557919
0.0349  -0.40559105
0.0524  -0.38616871
0.0698  -0.44329700
0.0873  -0.40499988
0.1047  -0.38325711
0.1222  -0.40382223
0.1396  -0.39141388
0.1571  -0.43167326
0.1745  -0.41822599
0.1920  -0.38800296
0.2094  -0.43343367
0.2269  -0.39840286
0.2443  -0.41756982
0.2618  -0.42027216
0.2793  -0.37802675
0.2967  -0.42872383
0.3142  -0.39854280
0.3316  -0.41648725
0.3491  -0.39662013
0.3665  -0.37377241
0.3840  -0.39082739
0.4014  -0.42652959
0.4189  -0.34555254
0.4363  -0.36751170
0.4538  -0.34573860
0.4712  -0.38896935
0.4887  -0.39014597
0.5061  -0.39335166
0.5236  -0.37064124
0.5411  -0.38723767
0.5585  -0.35695163
0.5760  -0.34642771
0.5934  -0.41161447
0.6109  -0.35462795
0.6283  -0.36368992
0.6458  -0.34880905
0.6632  -0.36658864
0.6807  -0.37305775
0.6981  -0.33386605
0.7156  -0.32491616
0.7330  -0.32597005
0.7505  -0.35499154
0.7679  -0.29253496
0.7854  -0.31158934
0.8029  -0.33239205
0.8203  -0.31487989
0.8378  -0.32538190
0.8552  -0.27038315
0.8727  -0.31140724
0.8901  -0.31160853
0.9076  -0.29513573
0.9250  -0.27973326
0.9425  -0.29628732
0.9599  -0.30925294
0.9774  -0.30238294
0.9948  -0.29282540
1.0123  -0.31474376
1.0297  -0.24345061
1.0472  -0.26672038
1.0647  -0.27650214
1.0821  -0.27679659
1.0996  -0.26488612
1.1170  -0.26355059
1.1345  -0.23616297
1.1519  -0.23390056
1.1694  -0.22273370
1.1868  -0.23737137
1.2043  -0.22263418
1.2217  -0.20747122
1.2392  -0.22936576
1.2566  -0.22167368
1.2741  -0.20854601
1.2915  -0.20393849
1.3090  -0.25717975
1.3265  -0.22838957
1.3439  -0.18087923
1.3614  -0.18963929
1.3788  -0.14701094
1.3963  -0.17052799
1.4137  -0.15701725
1.4312  -0.16992686
1.4486  -0.17290094
1.4661  -0.17796890
1.4835  -0.13916599
1.5010  -0.14893594
1.5184  -0.16053023
1.5359  -0.10646666
1.5533  -0.12809540
1.5708  -0.09377081
1.5882  -0.12562748
1.6057  -0.15278469
1.6232  -0.13051912
1.6406  -0.08330424
1.6581  -0.10479166
1.6755  -0.10258085
1.6930  -0.11023211
1.7104  -0.06902328
1.7279  -0.08770564
1.7453  -0.06871615
1.7628  -0.05460479
1.7802  -0.04242933
1.7977  -0.06310272
1.8151  -0.02353008
1.8326  -0.02883082
1.8500  -0.03417977
1.8675  -0.04612749
1.8850  -0.04054268
1.9024  -0.01039591
1.9199   0.00261336
1.9373   0.01821302
1.9548  -0.02590259
1.9722   0.01458380
1.9897   0.00947227
2.0071   0.01496942
2.0246   0.05086954
2.0420   0.01852799
2.0595   0.01029858
2.0769   0.07016246
2.0944   0.06417769
2.1118   0.04130315
2.1293   0.08148411
2.1468   0.08381738
2.1642   0.07549316
2.1817   0.10825910
2.1991   0.06986100
2.2166   0.10797630
2.2340   0.10861184
2.2515   0.10877635
2.2689   0.11425916
2.2864   0.12140632
2.3038   0.08949077
2.3213   0.11551803
2.3387   0.12371233
2.3562   0.11719855
2.3736   0.15506145
2.3911   0.13294430
2.4086   0.12828019
2.4260   0.12065954
2.4435   0.15668026
2.4609   0.16105809
2.4784   0.15309653
2.4958   0.18372153
2.5133   0.16206274
2.5307   0.17189048
2.5482   0.16400483
2.5656   0.16954380
2.5831   0.18289230
2.6005   0.19938532
2.6180   0.26246800
2.6354   0.17608127
2.6529   0.18300666
2.6704   0.22088400
2.6878   0.20947393
2.7053   0.24054102
2.7227   0.20970616
2.7402   0.22088526
2.7576   0.26256259
2.7751   0.23112132
2.7925   0.22421833
2.8100   0.19413197
2.8274   0.22225596
2.8449   0.25014947
2.8623   0.24285828
2.8798   0.24027529
2.8972   0.23231181
2.9147   0.24670290
2.9322   0.24313781
2.9496   0.24635516
2.9671   0.24586651
2.9845   0.23139627
3.0020   0.23355961
3.0194   0.24210076
3.0369   0.26269202
3.0543   0.22515293
3.0718   0.24554856
3.0892   0.25441480
3.1067   0.23009162
3.1241   0.22137189
3.1416   0.21437813
