  \phi      E(\phi)
0.0000  -0.94141971
0.0175  -0.93413587
0.0349  -0.94503023
0.0524  -0.98222511
0.0698  -0.98325702
0.0873  -0.96734671
0.1047  -0.96203116
0.1222  -0.95274611
0.1396  -0.95101210
0.1571  -0.95174710
0.1745  -0.97902858
0.1920  -0.98440393
0.2094  -0.94882638
0.2269  -1.00000000
0.2443  -0.95183231
0.2618  -0.91889186
0.2793  -0.95203693
0.2967  -0.87208359
0.3142  -0.94555552
0.3316  -0.92756425
0.3491  -0.94752527
0.3665  -0.94647403
0.3840  -0.91189384
0.4014  -0.94721757
0.4189  -0.92462615
0.4363  -0.90987560
0.4538  -0.91104319
0.4712  -0.89066382
0.4887  -0.96119181
0.5061  -0.91865025
0.5236  -0.90919285
0.5411  -0.87152912
0.5585  -0.87364891
0.5760  -0.93346478
0.5934  -0.87041426
0.6109  -0.93075920
0.6283  -0.93326821
0.6458  -0.98327729
0.6632  -0.90038549
0.6807  -0.93218055
0.6981  -0.86011118
0.7156  -0.85324461
0.7330  -0.79263561
0.7505  -0.86586736
0.7679  -0.73596072
0.7854  -0.83688808
0.8029  -0.94257845
0.8203  -0.95616341
0.8378  -0.84559988
0.8552  -0.80975538
0.8727  -0.87673610
0.8901  -0.78344583
0.9076  -0.79023284
0.9250  -0.73547906
0.9425  -0.75956281
0.9599  -0.67760964
0.9774  -0.75736238
0.9948  -0.62822728
1.0123  -0.67434277
1.0297  -0.62539257
1.0472  -0.64102216
1.0647  -0.67837393
1.0821  -0.59513729
1.0996  -0.63429732
1.1170  -0.60726862
1.1345  -0.79471958
1.1519  -0.66983980
1.1694  -0.74954558
1.1868  -0.59289224
1.2043  -0.63715808
1.2217  -0.50947657
1.2392  -0.31208416
1.2566  -0.47322307
1.2741  -0.49501449
1.2915  -0.29200448
1.3090  -0.41349750
1.3265  -0.44853475
1.3439  -0.41250311
1.3614  -0.42353111
1.3788  -0.40077937
1.3963  -0.62074607
1.4137  -0.45908054
1.4312  -0.50211093
1.4486  -0.51271949
1.4661  -0.30224681
1.4835  -0.41722262
1.5010  -0.39941963
1.5184  -0.37701610
1.5359  -0.15215229
1.5533  -0.37804025
1.5708  -0.30314771
1.5882  -0.12733813
1.6057  -0.07447920
1.6232  -0.18776499
1.6406  -0.37830971
1.6581  -0.23463047
1.6755  -0.12568655
1.6930  -0.32365159
1.7104  -0.09874211
1.7279  -0.23198346
1.7453  -0.19808705
1.7628  -0.03218476
1.7802   0.01967209
1.7977  -0.19755226
1.8151   0.06775457
1.8326  -0.03143637
1.8500  -0.05326579
1.8675  -0.17024277
1.8850   0.22113495
1.9024  -0.07683451
1.9199   0.11244607
1.9373   0.22469387
1.9548   0.07466973
1.9722   0.18800622
1.9897   0.11788089
2.0071   0.02163583
2.0246  -0.00663744
2.0420   0.03405351
2.0595   0.02878710
2.0769   0.35335197
2.0944   0.32894642
2.1118   0.38789468
2.1293   0.56061772
2.1468   0.15971732
2.1642   0.35907996
2.1817   0.28878753
2.1991   0.37791746
2.2166   0.48498502
2.2340   0.29407310
2.2515   0.16668992
2.2689   0.58008518
2.2864   0.42993695
2.3038   0.28108630
2.3213   0.69105927
2.3387   0.86332506
2.3562   0.72862561
2.3736   0.48045597
2.3911   0.61079914
2.4086   0.47029397
2.4260   0.83776127
2.4435   0.62999902
2.4609   0.39614114
2.4784   0.59933129
2.4958   0.77068785
2.5133   0.56400012
2.5307   0.68505156
2.5482   0.49760916
2.5656   0.69903097
2.5831   0.67867814
2.6005   0.63487263
2.6180   0.73243533
2.6354   0.87900024
2.6529   0.63116415
2.6704   0.69639930
2.6878   0.83179942
2.7053   0.83652686
2.7227   0.75053215
2.7402   0.62105055
2.7576   0.92744803
2.7751   0.88483626
2.7925   0.93572945
2.8100   0.84741480
2.8274   0.83954699
2.8449   0.87733078
2.8623   0.93933298
2.8798   0.87312740
2.8972   0.93000819
2.9147   0.85536430
2.9322   1.00000000
2.9496   0.93883482
2.9671   0.85067588
2.9845   0.93370077
3.0020   0.79962019
3.0194   1.00000000
3.0369   1.00000000
3.0543   0.94199855
3.0718   0.92967269
3.0892   1.00000000
3.1067   1.00000000
3.1241   0.93412649
3.1416   0.88960671
