  \phi      E(\phi)
0.0000  -0.97899571
0.0175  -1.00000000
0.0349  -1.00000000
0.0524  -0.94510243
0.0698  -0.96128556
0.0873  -1.00000000
0.1047  -0.98762512
0.1222  -1.00000000
0.1396  -0.84876807
0.1571  -0.93741022
0.1745  -0.97794359
0.1920  -0.96335266
0.2094  -0.94226095
0.2269  -0.98853160
0.2443  -1.00000000
0.2618  -0.96832629
0.2793  -0.94488743
0.2967  -0.92039106
0.3142  -0.91076556
0.3316  -0.96507571
0.3491  -0.92451582
0.3665  -0.94868401
0.3840  -0.95405300
0.4014  -0.98307477
0.4189  -0.93681913
0.4363  -0.96455026
0.4538  -0.94655885
0.4712  -0.96268363
0.4887  -0.88331199
0.5061  -0.94196667
0.5236  -0.84358207
0.5411  -0.92947932
0.5585  -0.85856288
0.5760  -0.92000066
0.5934  -0.91888634
0.6109  -0.88833634
0.6283  -0.89522159
0.6458  -0.81619026
0.6632  -0.90165909
0.6807  -0.82758581
0.6981  -0.79956104
0.7156  -0.84303196
0.7330  -0.88002244
0.7505  -0.90544144
0.7679  -0.80963791
0.7854  -0.74063862
0.8029  -0.79196015
0.8203  -0.76264250
0.8378  -0.85383919
0.8552  -0.79036747
0.8727  -0.67849288
0.8901  -0.69201670
0.9076  -0.73978921
0.9250  -0.72663720
0.9425  -0.68237156
0.9599  -0.82495846
0.9774  -0.67910914
0.9948  -0.79521324
1.0123  -0.72700717
1.0297  -0.79781227
1.0472  -0.75976713
1.0647  -0.74842970
1.0821  -0.65879123
1.0996  -0.64403812
1.1170  -0.61843142
1.1345  -0.66777100
1.1519  -0.53405678
1.1694  -0.60021336
1.1868  -0.57189984
1.2043  -0.64718775
1.2217  -0.58876926
1.2392  -0.58829252
1.2566  -0.52804382
1.2741  -0.52324550
1.2915  -0.50753345
1.3090  -0.39861398
1.3265  -0.58710756
1.3439  -0.47231660
1.3614  -0.56722095
1.3788  -0.47108151
1.3963  -0.59168535
1.4137  -0.47520001
1.4312  -0.30461428
1.4486  -0.50987569
1.4661  -0.57505248
1.4835  -0.43360041
1.5010  -0.42330127
1.5184  -0.30415769
1.5359  -0.39821482
1.5533  -0.32955853
1.5708  -0.38767530
1.5882  -0.29661764
1.6057  -0.42142450
1.6232  -0.28389616
1.6406  -0.30645673
1.6581  -0.30165609
1.6755  -0.20870487
1.6930  -0.31665801
1.7104  -0.02778493
1.7279  -0.20658795
1.7453  -0.23929989
1.7628  -0.19334585
1.7802  -0.13892599
1.7977  -0.06477350
1.8151  -0.14751818
1.8326  -0.17898962
1.8500   0.00318915
1.8675  -0.22094443
1.8850  -0.19284933
1.9024  -0.04604326
1.9199   0.09470979
1.9373   0.21798901
1.9548   0.13390853
1.9722   0.02086672
1.9897   0.11651109
2.0071  -0.02100956
2.0246   0.00546287
2.0420   0.15322050
2.0595   0.11472772
2.0769   0.32172731
2.0944   0.05294819
2.1118   0.35724180
2.1293   0.12695958
2.1468   0.36436637
2.1642   0.30734475
2.1817   0.41608747
2.1991   0.21920001
2.2166   0.18034717
2.2340   0.16300154
2.2515   0.41174680
2.2689   0.44215267
2.2864   0.62291344
2.3038   0.11893771
2.3213   0.52509507
2.3387   0.51486529
2.3562   0.58636016
2.3736   0.58572527
2.3911   0.52793987
2.4086   0.38794703
2.4260   0.63188095
2.4435   0.56875034
2.4609   0.68514456
2.4784   0.63701353
2.4958   0.59925174
2.5133   0.60461310
2.5307   0.66822877
2.5482   0.74935848
2.5656   0.68270679
2.5831   0.72563565
2.6005   0.62514188
2.6180   0.88525877
2.6354   0.75010027
2.6529   0.78456972
2.6704   0.86812488
2.6878   0.88010259
2.7053   0.81869930
2.7227   0.74241444
2.7402   0.88480548
2.7576   0.84857875
2.7751   0.75284141
2.7925   0.88709960
2.8100   0.88604787
2.8274   0.95614234
2.8449   0.87483379
2.8623   0.96149528
2.8798   1.00000000
2.8972   0.95564494
2.9147   0.86280365
2.9322   0.84601616
2.9496   0.96347395
2.9671   1.00000000
2.9845   0.96322446
3.0020   1.00000000
3.0194   1.00000000
3.0369   0.96138386
3.0543   1.00000000
3.0718   0.96269575
3.0892   1.00000000
3.1067   0.85676679
3.1241   1.00000000
3.1416   1.00000000
