  \phi      E(\phi)
0.0000  -1.00000000
0.0175  -1.00000000
0.0349  -1.00000000
0.0524  -0.92967136
0.0698  -1.00000000
0.0873  -0.91961102
0.1047  -1.00000000
0.1222  -0.91636040
0.1396  -1.00000000
0.1571  -1.00000000
0.1745  -1.00000000
0.1920  -1.00000000
0.2094  -0.72275778
0.2269  -1.00000000
0.2443  -1.00000000
0.2618  -1.00000000
0.2793  -1.00000000
0.2967  -0.86944606
0.3142  -0.89054436
0.3316  -1.00000000
0.3491  -1.00000000
0.3665  -0.93584122
0.3840  -0.82497474
0.4014  -1.00000000
0.4189  -0.86096327
0.4363  -1.00000000
0.4538  -1.00000000
0.4712  -1.00000000
0.4887  -0.90789783
0.5061  -0.79932911
0.5236  -0.80685358
0.5411  -1.00000000
0.5585  -0.80873118
0.5760  -0.78090400
0.5934  -1.00000000
0.6109  -0.78849506
0.6283  -0.81468195
0.6458  -0.42687277
0.6632  -0.92946868
0.6807  -1.00000000
0.6981  -0.91939923
0.7156  -0.63865630
0.7330  -1.00000000
0.7505  -1.00000000
0.7679  -0.79558699
0.7854  -0.36056838
0.8029  -1.00000000
0.8203  -0.92729077
0.8378  -0.52833777
0.8552  -0.84215931
0.8727  -0.85323671
0.8901  -0.58057790
0.9076  -0.64315353
0.9250  -0.38853191
0.9425  -0.71232703
0.9599  -0.89081004
0.9774  -0.86851521
0.9948  -0.61250000
1.0123  -0.65992316
1.0297  -0.84655089
1.0472   0.46738269
1.0647  -0.52738674
1.0821  -0.71632386
1.0996  -0.81910432
1.1170  -0.76384007
1.1345  -0.69984813
1.1519  -0.46328542
1.1694  -0.47818237
1.1868  -0.20294367
1.2043  -0.53094463
1.2217  -0.87808107
1.2392  -0.88292254
1.2566  -0.31756193
1.2741  -0.60317174
1.2915  -0.55034944
1.3090  -0.32611051
1.3265   0.11048715
1.3439  -0.32942556
1.3614  -0.39618610
1.3788  -0.72348993
1.3963  -0.27552448
1.4137   0.01360719
1.4312  -0.70219843
1.4486  -0.07635734
1.4661   0.14891112
1.4835  -0.33890988
1.5010  -0.24879227
1.5184  -0.24780585
1.5359  -0.23113375
1.5533  -0.27272727
1.5708  -0.01784504
1.5882  -0.23802586
1.6057  -0.65705356
1.6232  -0.23551493
1.6406  -0.21320793
1.6581  -0.35947368
1.6755  -0.52154399
1.6930   0.06776254
1.7104   0.07219523
1.7279   0.43475433
1.7453   0.07822014
1.7628   0.32387707
1.7802  -0.26047359
1.7977   0.28348575
1.8151   0.05980761
1.8326   0.01894452
1.8500  -0.16190882
1.8675  -0.49661763
1.8850  -0.18592965
1.9024   0.19736636
1.9199   0.10229077
1.9373  -0.36674817
1.9548   0.15303582
1.9722   0.37950139
1.9897  -0.55121592
2.0071  -0.35382645
2.0246  -0.16062176
2.0420   0.53424658
2.0595   0.31979695
2.0769   0.46666667
2.0944   1.00000000
2.1118   0.07372866
2.1293   0.50380209
2.1468  -0.02637106
2.1642   0.25213262
2.1817   0.28568312
2.1991   0.21489223
2.2166   0.54849401
2.2340   1.00000000
2.2515   0.69112418
2.2689   0.69153120
2.2864   0.65299992
2.3038   0.14006136
2.3213   0.52012827
2.3387   0.53170662
2.3562   1.00000000
2.3736   0.66694366
2.3911   0.36354680
2.4086   0.59355855
2.4260   0.48671533
2.4435   1.00000000
2.4609   0.46393194
2.4784   0.66709054
2.4958   0.56457729
2.5133   0.34820184
2.5307   0.67023589
2.5482   0.72458281
2.5656   1.00000000
2.5831   0.49159236
2.6005   0.49520276
2.6180   0.38198512
2.6354   1.00000000
2.6529   0.69765482
2.6704   0.61476106
2.6878   0.68882501
2.7053   1.00000000
2.7227   0.61266386
2.7402   1.00000000
2.7576   1.00000000
2.7751   1.00000000
2.7925   0.71758877
2.8100   1.00000000
2.8274   0.68566252
2.8449   1.00000000
2.8623   0.75461675
2.8798   1.00000000
2.8972   1.00000000
2.9147   1.00000000
2.9322   1.00000000
2.9496   1.00000000
2.9671   1.00000000
2.9845   1.00000000
3.0020   1.00000000
3.0194   1.00000000
3.0369   1.00000000
3.0543   1.00000000
3.0718   1.00000000
3.0892   1.00000000
3.1067   1.00000000
3.1241   1.00000000
3.1416   1.00000000
