  \phi      E(\phi)
0.0000  -1.00000000
0.0175  -0.96115946
0.0349  -0.98083777
0.0524  -1.00000000
0.0698  -0.96305390
0.0873  -0.97275123
0.1047  -1.00000000
0.1222  -0.98004969
0.1396  -0.97581395
0.1571  -1.00000000
0.1745  -0.99556101
0.1920  -0.97439143
0.2094  -0.94920447
0.2269  -0.93466672
0.2443  -0.95105039
0.2618  -0.95999794
0.2793  -0.98232354
0.2967  -0.98014824
0.3142  -0.97255295
0.3316  -0.98506323
0.3491  -0.96226523
0.3665  -0.93759542
0.3840  -0.93469381
0.4014  -0.94865693
0.4189  -0.94589398
0.4363  -0.96118848
0.4538  -0.92711875
0.4712  -0.88740232
0.4887  -0.91778726
0.5061  -0.93228211
0.5236  -0.91798291
0.5411  -0.89917212
0.5585  -0.89519288
0.5760  -0.85769780
0.5934  -0.86224191
0.6109  -0.89449715
0.6283  -0.84992045
0.6458  -0.91726389
0.6632  -0.88988158
0.6807  -0.81732466
0.6981  -0.83018821
0.7156  -0.86940751
0.7330  -0.80200348
0.7505  -0.86632461
0.7679  -0.81795640
0.7854  -0.78701583
0.8029  -0.85478183
0.8203  -0.79813290
0.8378  -0.79898669
0.8552  -0.72613054
0.8727  -0.79264712
0.8901  -0.73428206
0.9076  -0.75748291
0.9250  -0.81915738
0.9425  -0.78034737
0.9599  -0.79151734
0.9774  -0.71993274
0.9948  -0.71046532
1.0123  -0.69906990
1.0297  -0.72643322
1.0472  -0.71474563
1.0647  -0.73314463
1.0821  -0.65577120
1.0996  -0.67750181
1.1170  -0.74737368
1.1345  -0.59676165
1.1519  -0.70526620
1.1694  -0.66699316
1.1868  -0.53406768
1.2043  -0.70423631
1.2217  -0.52890580
1.2392  -0.51930436
1.2566  -0.58672088
1.2741  -0.63260640
1.2915  -0.59279167
1.3090  -0.66352298
1.3265  -0.41711180
1.3439  -0.54682746
1.3614  -0.50203459
1.3788  -0.62261006
1.3963  -0.38881207
1.4137  -0.41318255
1.4312  -0.47128303
1.4486  -0.51399114
1.4661  -0.32973070
1.4835  -0.44902694
1.5010  -0.35895191
1.5184  -0.31643418
1.5359  -0.32108811
1.5533  -0.36727400
1.5708  -0.39527522
1.5882  -0.31619210
1.6057  -0.27093698
1.6232  -0.42132018
1.6406  -0.27454811
1.6581  -0.37860854
1.6755  -0.17138834
1.6930  -0.26692493
1.7104  -0.17124828
1.7279  -0.26683089
1.7453  -0.15077949
1.7628  -0.21245373
1.7802  -0.10819054
1.7977  -0.10406395
1.8151  -0.09409125
1.8326  -0.06326192
1.8500   0.04613663
1.8675  -0.10628838
1.8850  -0.01901122
1.9024   0.07373020
1.9199   0.02446045
1.9373   0.05037515
1.9548   0.02156983
1.9722   0.14382482
1.9897  -0.00811035
2.0071   0.10213501
2.0246   0.17465865
2.0420   0.25737061
2.0595   0.12582343
2.0769   0.12886311
2.0944   0.10462243
2.1118   0.31911049
2.1293   0.15635176
2.1468   0.43889688
2.1642   0.16652474
2.1817   0.30030822
2.1991   0.35214178
2.2166   0.32622977
2.2340   0.30883813
2.2515   0.24766891
2.2689   0.31173551
2.2864   0.41290446
2.3038   0.51673576
2.3213   0.44983411
2.3387   0.30936129
2.3562   0.39362868
2.3736   0.54986847
2.3911   0.39280926
2.4086   0.59785842
2.4260   0.62260611
2.4435   0.55770742
2.4609   0.72891633
2.4784   0.65280303
2.4958   0.47219209
2.5133   0.72772648
2.5307   0.76575573
2.5482   0.60192705
2.5656   0.66800412
2.5831   0.61914432
2.6005   0.85178136
2.6180   0.73590734
2.6354   0.76737239
2.6529   0.72912568
2.6704   0.77340929
2.6878   0.97786657
2.7053   0.83653574
2.7227   0.85651372
2.7402   0.78938586
2.7576   0.81199557
2.7751   0.78440865
2.7925   0.93728110
2.8100   0.92270347
2.8274   0.85127775
2.8449   0.84283441
2.8623   0.96039604
2.8798   0.86829664
2.8972   0.91443070
2.9147   0.89323075
2.9322   0.94081531
2.9496   1.00000000
2.9671   0.98122110
2.9845   0.98187059
3.0020   1.00000000
3.0194   0.91116475
3.0369   0.96074825
3.0543   0.93132909
3.0718   1.00000000
3.0892   0.96329929
3.1067   1.00000000
3.1241   0.89689008
3.1416   0.86059676
