  \phi      E(\phi)
0.0000  -0.97752490
0.0175  -1.00000000
0.0349  -0.95810072
0.0524  -0.98746569
0.0698  -0.95489861
0.0873  -0.97189267
0.1047  -1.00000000
0.1222  -1.00000000
0.1396  -0.97630317
0.1571  -0.93174960
0.1745  -0.95241699
0.1920  -0.98974140
0.2094  -1.00000000
0.2269  -0.95526275
0.2443  -0.95528991
0.2618  -0.97830400
0.2793  -0.98816622
0.2967  -0.97905655
0.3142  -0.97385192
0.3316  -0.94975428
0.3491  -0.96982913
0.3665  -0.97461190
0.3840  -0.90496748
0.4014  -0.89336918
0.4189  -0.93180301
0.4363  -0.84311412
0.4538  -0.92122011
0.4712  -0.93718524
0.4887  -0.95512802
0.5061  -0.95511210
0.5236  -0.98800573
0.5411  -0.94535104
0.5585  -0.91186213
0.5760  -0.88290595
0.5934  -0.86175012
0.6109  -0.88242520
0.6283  -0.92486793
0.6458  -0.78781517
0.6632  -0.89954177
0.6807  -0.89366469
0.6981  -0.87933311
0.7156  -0.82645537
0.7330  -0.83277822
0.7505  -0.88375418
0.7679  -0.79664682
0.7854  -0.81902879
0.8029  -0.75422955
0.8203  -0.77669889
0.8378  -0.81578804
0.8552  -0.77267566
0.8727  -0.81905775
0.8901  -0.86379883
0.9076  -0.70774245
0.9250  -0.77325955
0.9425  -0.69902313
0.9599  -0.80503173
0.9774  -0.73117015
0.9948  -0.67496913
1.0123  -0.72929308
1.0297  -0.73958330
1.0472  -0.69875624
1.0647  -0.74344804
1.0821  -0.63119621
1.0996  -0.71146354
1.1170  -0.64229980
1.1345  -0.56802929
1.1519  -0.71449404
1.1694  -0.45708596
1.1868  -0.50577849
1.2043  -0.73190495
1.2217  -0.72264361
1.2392  -0.44652336
1.2566  -0.66750807
1.2741  -0.51952127
1.2915  -0.64590293
1.3090  -0.63190958
1.3265  -0.50009940
1.3439  -0.56950472
1.3614  -0.58045899
1.3788  -0.52025723
1.3963  -0.44197619
1.4137  -0.49065967
1.4312  -0.47914003
1.4486  -0.47559929
1.4661  -0.50557238
1.4835  -0.52266638
1.5010  -0.47508525
1.5184  -0.33249391
1.5359  -0.17490528
1.5533  -0.33620094
1.5708  -0.28544070
1.5882  -0.40598628
1.6057  -0.27169746
1.6232  -0.21963353
1.6406  -0.19297418
1.6581  -0.21334474
1.6755  -0.18057134
1.6930  -0.35598870
1.7104  -0.32331020
1.7279  -0.24994507
1.7453  -0.17691291
1.7628  -0.16957281
1.7802  -0.09806922
1.7977  -0.11884809
1.8151  -0.06462535
1.8326   0.04297205
1.8500  -0.06199538
1.8675  -0.03751807
1.8850  -0.00978993
1.9024   0.00263889
1.9199   0.09373566
1.9373  -0.06800974
1.9548   0.20153980
1.9722   0.14914486
1.9897   0.05448779
2.0071   0.07107768
2.0246  -0.07681156
2.0420   0.07973464
2.0595   0.06487281
2.0769   0.18973949
2.0944   0.01605744
2.1118   0.01369185
2.1293   0.13062094
2.1468   0.18647602
2.1642   0.24309025
2.1817   0.17451095
2.1991   0.11067795
2.2166   0.32480732
2.2340   0.27626141
2.2515   0.42822502
2.2689   0.37154372
2.2864   0.61522143
2.3038   0.47520051
2.3213   0.41647310
2.3387   0.40812894
2.3562   0.48236195
2.3736   0.64538982
2.3911   0.54092919
2.4086   0.35658219
2.4260   0.55310396
2.4435   0.57312997
2.4609   0.44659625
2.4784   0.68369077
2.4958   0.66040731
2.5133   0.76711047
2.5307   0.51032959
2.5482   0.54860416
2.5656   0.83558117
2.5831   0.58415196
2.6005   0.79035546
2.6180   0.67452717
2.6354   0.76479708
2.6529   0.62423537
2.6704   0.68625479
2.6878   0.82746887
2.7053   0.74343182
2.7227   0.65442538
2.7402   0.73094549
2.7576   0.73894206
2.7751   0.80608568
2.7925   0.82147820
2.8100   0.84862944
2.8274   0.86772584
2.8449   0.95944747
2.8623   0.87680524
2.8798   0.83545672
2.8972   1.00000000
2.9147   0.72373337
2.9322   1.00000000
2.9496   0.95667520
2.9671   0.89463248
2.9845   1.00000000
3.0020   1.00000000
3.0194   1.00000000
3.0369   1.00000000
3.0543   1.00000000
3.0718   0.88491717
3.0892   1.00000000
3.1067   0.93078540
3.1241   1.00000000
3.1416   1.00000000
