  \phi      E(\phi)
0.0000  -1.00000000
0.0317  -1.00000000
0.0635  -0.72248718
0.0952  -1.00000000
0.1269  -0.87963928
0.1587  -1.00000000
0.1904  -1.00000000
0.2221  -1.00000000
0.2539  -1.00000000
0.2856  -0.88486381
0.3173  -1.00000000
0.3491  -0.77919721
0.3808  -1.00000000
0.4125  -1.00000000
0.4443  -0.75825704
0.4760  -0.73359772
0.5077  -0.87273838
0.5395  -0.62575558
0.5712  -0.75803461
0.6029  -0.78813350
0.6347  -0.61245244
0.6664  -0.72028910
0.6981  -0.34019382
0.7299  -0.28980384
0.7616  -0.86103081
0.7933  -0.69532848
0.8251  -0.55944008
0.8568  -0.78217359
0.8885  -0.28795354
0.9203  -0.23340844
0.9520  -0.83819425
0.9837  -0.27893189
1.0155  -0.06921420
1.0472  -0.51906037
1.0789  -0.34970607
1.1107   0.00712664
1.1424  -0.01171828
1.1741   0.15112873
1.2059   0.19409318
1.2376   0.15804781
1.2693   0.08942845
1.3011   0.08385498
1.3328  -0.27225948
1.3645  -0.37632196
1.3963  -0.05733172
1.4280   0.04316986
1.4597   0.24372179
1.4915  -0.13889343
1.5232  -0.01978436
1.5549   0.28642179
1.5867  -0.24265557
1.6184  -0.24150261
1.6501   0.22347258
1.6819   0.56068743
1.7136   0.50847192
1.7453   0.46940324
1.7771   0.49385406
1.8088   0.33485468
1.8405   0.39395795
1.8723   0.45421227
1.9040   0.43520311
1.9357   0.33453572
1.9675   0.49150992
1.9992   0.66031844
2.0309   0.77228937
2.0627   0.47878371
2.0944   0.78690712
2.1261   0.48565694
2.1579   0.57238905
2.1896   0.70100296
2.2213   0.84457920
2.2531   0.54958399
2.2848   0.72720047
2.3165   0.79403384
2.3483   0.81095465
2.3800   0.82699511
2.4117   0.70637318
2.4435   0.92720439
2.4752   0.81798812
2.5069   0.69758539
2.5387   0.86753468
2.5704   0.90275707
2.6021   0.91796040
2.6339   0.95586431
2.6656   0.91930232
2.6973   0.88277553
2.7291   0.88858539
2.7608   1.00000000
2.7925   0.96195079
2.8243   1.00000000
2.8560   1.00000000
2.8877   1.00000000
2.9195   1.00000000
2.9512   0.95896049
2.9829   1.00000000
3.0147   0.94731855
3.0464   1.00000000
3.0781   1.00000000
3.1099   1.00000000
3.1416   0.93556667
