  \phi      E(\phi)
0.0000  -0.69757429
0.0317  -1.00000000
0.0635  -1.00000000
0.0952  -1.00000000
0.1269  -1.00000000
0.1587  -0.85224548
0.1904  -1.00000000
0.2221  -1.00000000
0.2539  -0.87277261
0.2856  -1.00000000
0.3173  -0.73781703
0.3491  -0.86325012
0.3808  -1.00000000
0.4125  -0.87929071
0.4443  -0.85850197
0.4760  -0.76743711
0.5077  -1.00000000
0.5395  -0.66983652
0.5712  -1.00000000
0.6029  -0.70449715
0.6347  -0.76187693
0.6664  -0.26888435
0.6981  -0.41936818
0.7299  -0.61146602
0.7616  -0.40021731
0.7933  -0.56180254
0.8251  -0.59171303
0.8568  -0.26514485
0.8885  -0.59057361
0.9203  -0.74968136
0.9520  -0.54103097
0.9837  -0.16851148
1.0155  -0.39243623
1.0472  -0.49841365
1.0789  -0.47166393
1.1107  -0.32350176
1.1424  -0.05536651
1.1741  -0.24082881
1.2059  -0.65425374
1.2376  -0.18404161
1.2693   0.21718176
1.3011  -0.17814443
1.3328  -0.00244549
1.3645   0.01267434
1.3963   0.08483594
1.4280   0.27928431
1.4597  -0.02652290
1.4915   0.20178091
1.5232   0.40167970
1.5549   0.23154681
1.5867   0.18142817
1.6184   0.32616682
1.6501   0.01514194
1.6819   0.33275936
1.7136   0.39761476
1.7453   0.47429784
1.7771   0.32195983
1.8088   0.44621447
1.8405   0.30447219
1.8723   0.36859889
1.9040   0.52045912
1.9357   0.71088394
1.9675   0.69133437
1.9992   0.66960726
2.0309   0.57981622
2.0627   0.65949005
2.0944   0.72447454
2.1261   0.58104025
2.1579   0.70622567
2.1896   0.95068434
2.2213   0.87479642
2.2531   0.64807906
2.2848   0.69777963
2.3165   0.75293702
2.3483   0.81076780
2.3800   0.64963586
2.4117   0.89177780
2.4435   0.85906713
2.4752   0.91203037
2.5069   0.68894470
2.5387   0.90029147
2.5704   0.84165443
2.6021   0.85846532
2.6339   1.00000000
2.6656   0.88596494
2.6973   0.94334846
2.7291   0.96548651
2.7608   0.93768740
2.7925   1.00000000
2.8243   1.00000000
2.8560   1.00000000
2.8877   0.81966134
2.9195   0.95349339
2.9512   1.00000000
2.9829   1.00000000
3.0147   0.94492662
3.0464   1.00000000
3.0781   1.00000000
3.1099   1.00000000
3.1416   0.96005045
