  \phi      E(\phi)
0.0000  -0.79641245
0.0175  -0.71275599
0.0349  -0.74954260
0.0524  -0.69743180
0.0698  -0.83593781
0.0873  -0.81210841
0.1047  -0.70150012
0.1222  -0.75723857
0.1396  -0.81488471
0.1571  -0.76491281
0.1745  -0.83254331
0.1920  -0.69226275
0.2094  -0.78030026
0.2269  -0.77356132
0.2443  -0.68000128
0.2618  -0.69001510
0.2793  -0.83937098
0.2967  -0.74987221
0.3142  -0.78365042
0.3316  -0.74664695
0.3491  -0.63836787
0.3665  -0.74022132
0.3840  -0.67116324
0.4014  -0.78922372
0.4189  -0.60584795
0.4363  -0.74539165
0.4538  -0.63289057
0.4712  -0.69022022
0.4887  -0.71330821
0.5061  -0.72930906
0.5236  -0.83528845
0.5411  -0.66371728
0.5585  -0.56291737
0.5760  -0.67326195
0.5934  -0.71034667
0.6109  -0.56393649
0.6283  -0.66632641
0.6458  -0.59284824
0.6632  -0.57059558
0.6807  -0.54892287
0.6981  -0.54281280
0.7156  -0.55193463
0.7330  -0.59657628
0.7505  -0.47249721
0.7679  -0.49881428
0.7854  -0.52670001
0.8029  -0.48538194
0.8203  -0.48103302
0.8378  -0.39026357
0.8552  -0.58041559
0.8727  -0.39096979
0.8901  -0.48339825
0.9076  -0.40307499
0.9250  -0.40228516
0.9425  -0.43606587
0.9599  -0.52705090
0.9774  -0.34590081
0.9948  -0.44385294
1.0123  -0.41059936
1.0297  -0.49479102
1.0472  -0.36461853
1.0647  -0.29092691
1.0821  -0.31209690
1.0996  -0.36627090
1.1170  -0.34172725
1.1345  -0.40138873
1.1519  -0.39856311
1.1694  -0.35233078
1.1868  -0.29592797
1.2043  -0.32665573
1.2217  -0.31397847
1.2392  -0.14631805
1.2566  -0.30323520
1.2741  -0.22764158
1.2915  -0.06217132
1.3090  -0.25506955
1.3265  -0.32957090
1.3439  -0.23201986
1.3614  -0.02697101
1.3788  -0.12731827
1.3963  -0.18047672
1.4137  -0.19824466
1.4312  -0.04285539
1.4486   0.01060493
1.4661  -0.00459136
1.4835  -0.09699242
1.5010   0.02737707
1.5184  -0.02975092
1.5359   0.02781759
1.5533   0.01994373
1.5708   0.13071627
1.5882   0.01713092
1.6057   0.11446853
1.6232   0.04807412
1.6406  -0.09721183
1.6581   0.03907585
1.6755   0.15646248
1.6930   0.10133079
1.7104   0.16827279
1.7279   0.12319598
1.7453   0.17861338
1.7628   0.16391450
1.7802   0.05976460
1.7977   0.18603642
1.8151   0.27008124
1.8326   0.21680904
1.8500   0.27913333
1.8675   0.27354411
1.8850   0.18187406
1.9024   0.25536307
1.9199   0.31660619
1.9373   0.34194250
1.9548   0.40874813
1.9722   0.20734300
1.9897   0.21823989
2.0071   0.42329536
2.0246   0.33326542
2.0420   0.32436587
2.0595   0.36555146
2.0769   0.43551356
2.0944   0.34792937
2.1118   0.43709415
2.1293   0.46844171
2.1468   0.38601864
2.1642   0.44369897
2.1817   0.42576527
2.1991   0.45332587
2.2166   0.48968164
2.2340   0.58494937
2.2515   0.44565114
2.2689   0.44716194
2.2864   0.64314811
2.3038   0.53844085
2.3213   0.43977652
2.3387   0.62103402
2.3562   0.53863786
2.3736   0.54838156
2.3911   0.50403063
2.4086   0.55450261
2.4260   0.53311143
2.4435   0.55837044
2.4609   0.61394820
2.4784   0.55616762
2.4958   0.57559824
2.5133   0.66028315
2.5307   0.74522529
2.5482   0.65933019
2.5656   0.66146705
2.5831   0.65905060
2.6005   0.68146752
2.6180   0.67995215
2.6354   0.69236972
2.6529   0.71112339
2.6704   0.69944380
2.6878   0.61535525
2.7053   0.75965645
2.7227   0.68992094
2.7402   0.70567998
2.7576   0.65324912
2.7751   0.80070223
2.7925   0.83187908
2.8100   0.73063253
2.8274   0.67951137
2.8449   0.72774842
2.8623   0.80965863
2.8798   0.74714376
2.8972   0.76387213
2.9147   0.73744829
2.9322   0.79514481
2.9496   0.77486462
2.9671   0.74414315
2.9845   0.89518091
3.0020   0.74990792
3.0194   0.82756873
3.0369   0.80154812
3.0543   0.80443558
3.0718   0.71699720
3.0892   0.77026071
3.1067   0.73267595
3.1241   0.76216379
3.1416   0.80832597
